NUMBER	GLOSS	English	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	Note
Chen-2013-888-118	胃		819	STOMACH	2	
Chen-2013-888-119	胆					add Gallbladder
Chen-2013-888-120	血		946	BLOOD	2	
Chen-2013-888-121	奶汁		635	MILK		
Chen-2013-888-122	屎		675	FAECES (EXCREMENT)	2	
Chen-2013-888-123	肠子		1991	INTESTINES	2	
Chen-2013-888-124	尿		1142	URINE	2	
Chen-2013-888-125	汗		2458	PERSPIRE OR SWEAT	2	
Chen-2013-888-126	口水		1503	SALIVA	2	
Chen-2013-888-127	鼻涕		208	NASAL MUCUS (SNOT)	2	
Chen-2013-888-128	眼泪		1651	TEAR (OF EYE)	2	
Chen-2013-888-129	脓		1808	PUS	2	
Chen-2013-888-130	牛		1007	COW	2	
Chen-2013-888-131	水牛		2516	WATER BUFFALO	2	
Chen-2013-888-132	黄牛		1153	CATTLE	2	
Chen-2013-888-133	母牛		1007	COW	2	
Chen-2013-888-134	公牛		1008	BULL	2	
Chen-2013-888-135	牛犊					
Chen-2013-888-136	（牛）角		1393	HORN (ANATOMY)	4	
Chen-2013-888-137	蹄		152	HOOF	2	
Chen-2013-888-138	皮		763	SKIN	2	
Chen-2013-888-139	毛		580	FUR	2	
Chen-2013-888-140	尾巴		1220	TAIL	2	
Chen-2013-888-141	马		615	HORSE	2	
Chen-2013-888-142	羊		2684	CAPRINE (GOAT OR SHEEP)	2	
Chen-2013-888-143	猪		1337	PIG	2	
Chen-2013-888-144	狗		2009	DOG	2	
Chen-2013-888-145	猫		1208	CAT	2	
Chen-2013-888-146	兔子		2345	LEPORID (RABBIT OR HARE)	2	
Chen-2013-888-147	鸡		1318	CHICKEN	2	
Chen-2013-888-148	公鸡		1511	ROOSTER	2	
Chen-2013-888-149	母鸡		1514	HEN	2	
Chen-2013-888-150	鸡冠					add cockscomb
Chen-2013-888-151	爪子		72	CLAW	2	
Chen-2013-888-152	翅膀		1257	WING	2	
Chen-2013-888-153	鸭子		1360	DUCK	2	
Chen-2013-888-154	鹅		1187	GOOSE	2	
Chen-2013-888-155	鸽子		1853	DOVE	2	
Chen-2013-888-156	老虎		846	TIGER	2	
Chen-2013-888-157	猴子		1350	MONKEY	2	
Chen-2013-888-158	熊		1820	BEAR	2	
Chen-2013-888-159	野猪		1348	BOAR	2	
Chen-2013-888-160	穿山甲		2508	PANGOLIN		
Chen-2013-888-161	老鼠		2139	MUROID (MOUSE OR RAT)	2	
Chen-2013-888-162	黄鼠狼					
Chen-2013-888-163	狐狸		1312	FOX	2	
Chen-2013-888-164	鸟		937	BIRD	2	
Chen-2013-888-165	鸟窝		539	NEST		
Chen-2013-888-166	老鹰		1905	EAGLE	2	
Chen-2013-888-167	猫头鹰		735	OWL		
Chen-2013-888-168	燕子		3077	SWALLOW (BIRD)	2	
Chen-2013-888-169	麻雀		1854	SPARROW	2	
Chen-2013-888-170	乌鸦		913	CROW	2	
Chen-2013-888-171	野鸡		3060	PHEASANT		
Chen-2013-888-172	斑鸠		1853	DOVE	2	
Chen-2013-888-173	啄木鸟		2447	WOODPECKER		
Chen-2013-888-174	蛇		730	SNAKE	2	
Chen-2013-888-175	青蛙		503	FROG	2	
Chen-2013-888-176	鱼		227	FISH	2	
Chen-2013-888-177	鳞		266	SCALE		
Chen-2013-888-178	黄鳝					
Chen-2013-888-179	泥鳅					
Chen-2013-888-180	虾		2349	SHRIMP		
Chen-2013-888-181	螃蟹		2348	CRAB	2	
Chen-2013-888-182	螺蛳					add water snail
Chen-2013-888-183	蚂蟥		2273	LEECH		
Chen-2013-888-184	虫		1027	BUG	2	
Chen-2013-888-185	臭虫		1949	BEDBUG	2	
Chen-2013-888-186	虱子		1392	LOUSE	2	
Chen-2013-888-187	苍蝇		1504	FLY (INSECT)	2	
Chen-2013-888-188	蛆		2640	LARVA	2	
Chen-2013-888-189	蚊子		1509	MOSQUITO	2	
Chen-2013-888-190	蜘蛛		843	SPIDER	2	
Chen-2013-888-191	蚯蚓		2350	EARTHWORM	2	
Chen-2013-888-192	蛔虫					add roundworms
Chen-2013-888-193	蚂蚁		587	ANT	2	
Chen-2013-888-194	蜜蜂		665	BEE	2	
Chen-2013-888-195	马蜂		1517	WASP		
Chen-2013-888-196	马蜂窝					
Chen-2013-888-197	螳螂					add mantis
Chen-2013-888-198	蜻蜓		2352	DRAGONFLY	2	
Chen-2013-888-199	蝴蝶		1791	BUTTERFLY	2	
Chen-2013-888-200	树		906	TREE	2	
Chen-2013-888-201	树干		344	TREE TRUNK		
Chen-2013-888-202	樹枝		1531	BRANCH		
Chen-2013-888-203	树梢					
Chen-2013-888-204	树根		670	ROOT		
Chen-2013-888-205	叶子		628	LEAF	2	
Chen-2013-888-206	花		239	FLOWER	2	
Chen-2013-888-207	果子		1507	FRUIT		
Chen-2013-888-208	芽		1684	BUD	2	
Chen-2013-888-209	杉树		1915	FIR	2	
Chen-2013-888-210	松树		1740	PINE	2	
Chen-2013-888-211	桃		2043	PEACH		
Chen-2013-888-212	李子					
Chen-2013-888-213	梨		922	PEAR	2	
Chen-2013-888-214	橘子		2627	ORANGE (FRUIT)		
Chen-2013-888-215	柿子		2044	PERSIMMON	2	
Chen-2013-888-216	葡萄		920	GRAPE	2	
Chen-2013-888-217	竹子		1927	BAMBOO	2	
Chen-2013-888-218	藤子		2497	RATTAN		
Chen-2013-888-219	苎麻		3063	RAMIE	2	
Chen-2013-888-220	刺		124	THORN	2	
Chen-2013-888-221	水稻		429	SWIDDEN FIELD	2	
Chen-2013-888-222	种子		714	SEED	2	
Chen-2013-888-223	秧		3050	SEEDLING		
Chen-2013-888-224	包谷					
Chen-2013-888-225	高粱		347	SORGHUM	2	
Chen-2013-888-226	粟		605	GRAIN		
Chen-2013-888-227	菜		924	VEGETABLES	2	
Chen-2013-888-228	白菜		774	CABBAGE	2	
Chen-2013-888-229	油菜					
Chen-2013-888-230	韭菜					
Chen-2013-888-231	萝卜		3062	TURNIP	2	
Chen-2013-888-232	芋头		351	TARO	2	
Chen-2013-888-233	茄子		1146	AUBERGINE	2	
Chen-2013-888-234	辣椒		919	CHILI PEPPER	2	
Chen-2013-888-235	葱		2366	ONION	2	
Chen-2013-888-236	蒜		2368	GARLIC	2	
Chen-2013-888-237	姜		2500	GINGER		
Chen-2013-888-238	红薯		159	SWEET POTATO		
Chen-2013-888-239	笋		2494	BAMBOO SHOOT		
Chen-2013-888-240	瓜		507	MELON	2	
Chen-2013-888-241	瓜藤		343	VINE		
Chen-2013-888-242	瓜子					
Chen-2013-888-243	南瓜		864	PUMPKIN	2	
Chen-2013-888-244	西瓜		2766	WATERMELON	2	
Chen-2013-888-245	黄瓜		496	CUCUMBER	2	
Chen-2013-888-246	葫芦		411	GOURD		
Chen-2013-888-247	冬瓜		411	GOURD	2	
Chen-2013-888-248	豆		832	BEAN	2	
Chen-2013-888-249	黄豆		2027	SOYA	2	
Chen-2013-888-250	豇豆					
Chen-2013-888-251	花生		2364	PEANUT	2	
Chen-2013-888-252	芝麻		2797	SESAME		
Chen-2013-888-253	草		606	GRASS	2	
Chen-2013-888-254	茅草		279	THATCH		
Chen-2013-888-255	蓝靛苗					
Chen-2013-888-256	蕨菜					add Bracken
Chen-2013-888-257	蘑菇		641	MUSHROOM	2	
Chen-2013-888-258	木耳					a kind of fungus. for eating
Chen-2013-888-259	米		926	RICE	2	
Chen-2013-888-260	糯米		2750	GLUTINOUS RICE	2	
Chen-2013-888-261	饭		1191	COOKED RICE	2	
Chen-2013-888-262	粥		2049	CONGEE	2	
Chen-2013-888-263	粑粑					add Baba
Chen-2013-888-264	面粉		1594	FLOUR	2	
Chen-2013-888-265	肉		2615	FLESH OR MEAT	2	
Chen-2013-888-266	牛肉		2570	BEEF		
Chen-2013-888-267	羊肉					add lamb meat
Chen-2013-888-268	猪肉		2769	PORK		
Chen-2013-888-269	肥肉		2449	FAT (OF MEAT AND FOOD)	2	
Chen-2013-888-270	瘦肉		2219	LEAN (MEAT)		
Chen-2013-888-271	猪油		2557	PIG FAT	2	
Chen-2013-888-272	菜油		2555	OIL (FROM PLANTS)		
Chen-2013-888-273	盐		1274	SALT	2	
Chen-2013-888-274	糖		862	SUGAR	2	
Chen-2013-888-275	白糖					add white sugar
Chen-2013-888-276	红糖				2	add brown sugar
Chen-2013-888-277	蛋		744	EGG	2	
Chen-2013-888-278	蛋白					
Chen-2013-888-279	蛋黄		1556	YOLK		
Chen-2013-888-280	壳儿		598	SHELL		
Chen-2013-888-281	豆腐					
Chen-2013-888-282	汤		1547	SOUP	2	
Chen-2013-888-283	酒		404	ALCOHOL (FERMENTED DRINK)	2	
Chen-2013-888-284	茶		1373	TEA	2	
Chen-2013-888-285	茶叶					add tea leaf
Chen-2013-888-286	甜酒		842	LIQUOR		
Chen-2013-888-287	开水					
Chen-2013-888-288	药		1372	MEDICINE	2	
Chen-2013-888-289	糠		2363	CHAFF (HUSK)	2	
Chen-2013-888-290	棉花		1850	COTTON	2	
Chen-2013-888-291	纱					add muslin
Chen-2013-888-292	布		1616	CLOTH	2	
Chen-2013-888-293	衣		1895	CLOTHES		
Chen-2013-888-294	棉衣					
Chen-2013-888-295	衣领		2012	COLLAR		
Chen-2013-888-296	袖子		2953	SLEEVE	2	
Chen-2013-888-297	扣子		757	BUTTON		
Chen-2013-888-298	衣袋		1851	POCKET		
Chen-2013-888-299	裤子		809	TROUSERS	2	
Chen-2013-888-300	裙子		1600	SKIRT	2	
Chen-2013-888-301	头巾		3066	SCARF OR TURBAN	2	
Chen-2013-888-302	帽子		771	HAT	2	
Chen-2013-888-303	裹腿布					
Chen-2013-888-304	鞋		1381	SHOE	2	
Chen-2013-888-305	草鞋		2047	STRAW SANDAL	2	
Chen-2013-888-306	袜子		1522	SOCK	2	
Chen-2013-888-307	蓑衣		1662	CAPE	2	
Chen-2013-888-308	斗笠		2160	BAMBOO HAT	2	
Chen-2013-888-309	被子		2048	QUILT	2	
Chen-2013-888-310	枕头		1044	PILLOW	2	
Chen-2013-888-311	席子		195	MAT	2	
Chen-2013-888-312	蚊帐		2795	MOSQUITO NET	2	
Chen-2013-888-313	棉絮					add batting
Chen-2013-888-314	房子		1252	HOUSE	2	
Chen-2013-888-315	瓦房					
Chen-2013-888-316	草房					
Chen-2013-888-317	厨房		1365	KITCHEN	2	
Chen-2013-888-318	厕所		219	TOILET	2	
Chen-2013-888-319	仓库		3025	BARN OR SHED	2	
Chen-2013-888-320	牛圈		2949	LAIR		
Chen-2013-888-321	门		1567	DOOR	2	
Chen-2013-888-322	砖		1006	BRICK	2	
Chen-2013-888-323	瓦					add tile
Chen-2013-888-324	墙		933	WALL (OF HOUSE)	2	
Chen-2013-888-325	楼					
Chen-2013-888-326	窗子		1375	WINDOW	2	
Chen-2013-888-327	木头		1803	WOOD	2	
Chen-2013-888-328	木板		1227	BOARD		
Chen-2013-888-329	柱子		2045	COLUMN	2	
Chen-2013-888-330	台阶		1158	STEP		
Chen-2013-888-331	船		1844	BOAT	2	
Chen-2013-888-332	车		1111	CAR		
Chen-2013-888-333	马鞍		3065	SADDLE		
Chen-2013-888-334	鞭子		2630	WHIP	2	
Chen-2013-888-335	伞		3105	UMBRELLA		
Chen-2013-888-336	斧子		677	AXE		
Chen-2013-888-337	柴刀		2680	MACHETE		
Chen-2013-888-338	锤子		1481	HAMMER		
Chen-2013-888-339	凿子		1979	CHISEL		
Chen-2013-888-340	锯子		1948	SAW	2	
Chen-2013-888-341	锉子					
Chen-2013-888-342	锥子		278	AWL		
Chen-2013-888-343	刨子					
Chen-2013-888-344	钳子					
Chen-2013-888-345	犁		2154	PLOUGH (INSTRUMENT)	2	
Chen-2013-888-346	耙		338	RAKE	4	
