# Wordlist

# DATA
ID	ID	LOCAL_ID	LANGUAGE_ID	PARAMETER_ID	VALUE	FORM	SEGMENTS	COMMENT	SOURCE	COGNACY	LOAN	CONCEPT_NAME	CONCEPT_CONCEPTICON_ID	CONCEPT_CONCEPTICON_GLOSS	LANGUAGE_NAME	LANGUAGE_GLOTTOCODE	LANGUAGE_GLOTTOLOG_NAME	LANGUAGE_ISO639P3CODE	LANGUAGE_MACROAREA	LANGUAGE_FAMILY	DOCULECT	CONCEPT	IPA
10357	chuanqiandiansouthernguizhou-Chen-2013-888-428-1		chuanqiandiansouthernguizhou	Chen-2013-888-428	ʔei³²	ʔei³²	ʔ ei ³²		Chen2013			一	1493	ONE	Chuanqiandian, Southern Guizhou	cent1394					Chuanqiandian, Southern Guizhou	一	ʔei³²
#
10503	luobuoheeastern-Chen-2013-888-434-1		luobuoheeastern	Chen-2013-888-434	zuŋ²⁴	zuŋ²⁴	z u ŋ ²⁴		Chen2013			七	1704	SEVEN	Luobuohe, Eastern	luop1235					Luobuohe, Eastern	七	zuŋ²⁴
10504	luobuohewestern-Chen-2013-888-434-1		luobuohewestern	Chen-2013-888-434	zoŋ³⁵	zoŋ³⁵	z o ŋ ³⁵		Chen2013			七	1704	SEVEN	Luobuohe, Western	luop1235					Luobuohe, Western	七	zoŋ³⁵
10505	chuanqiandian-Chen-2013-888-434-1		chuanqiandian	Chen-2013-888-434	ɕaŋ⁴⁴	ɕaŋ⁴⁴	ɕ a ŋ ⁴⁴		Chen2013			七	1704	SEVEN	Chuanqiandian	chua1256					Chuanqiandian	七	ɕaŋ⁴⁴
10506	chuanqiandiancentralguizhou-Chen-2013-888-434-1		chuanqiandiancentralguizhou	Chen-2013-888-434	sã²²	sã²²	s ã ²²		Chen2013			七	1704	SEVEN	Chuanqiandian, Central Guizhou	nort2749					Chuanqiandian, Central Guizhou	七	sã²²
10507	chuanqiandiansouthernguizhou-Chen-2013-888-434-1		chuanqiandiansouthernguizhou	Chen-2013-888-434	tɕaŋ¹³	tɕaŋ¹³	tɕ a ŋ ¹³		Chen2013			七	1704	SEVEN	Chuanqiandian, Southern Guizhou	cent1394					Chuanqiandian, Southern Guizhou	七	tɕaŋ¹³
10508	chuanqiandiannortheastyunnan-Chen-2013-888-434-1		chuanqiandiannortheastyunnan	Chen-2013-888-434	ɕaɯ³³	ɕaɯ³³	ɕ a ɯ ³³		Chen2013			七	1704	SEVEN	Chuanqiandian, Northeast Yunnan	larg1235					Chuanqiandian, Northeast Yunnan	七	ɕaɯ³³
10512	qiandongeast-Chen-2013-888-434-1		qiandongeast	Chen-2013-888-434	ɕuŋ⁵³	ɕuŋ⁵³	ɕ u ŋ ⁵³		Chen2013			七	1704	SEVEN	Qiandong, East	east2370					Qiandong, East	七	ɕuŋ⁵³
10514	qiandongwest-Chen-2013-888-434-1		qiandongwest	Chen-2013-888-434	ɕuŋ²²	ɕuŋ²²	ɕ u ŋ ²²		Chen2013			七	1704	SEVEN	Qiandong, West						Qiandong, West	七	ɕuŋ²²
10515	bahengwest-Chen-2013-888-434-1		bahengwest	Chen-2013-888-434	tɕaŋ⁴⁴	tɕaŋ⁴⁴	tɕ a ŋ ⁴⁴		Chen2013			七	1704	SEVEN	Baheng, West	pahn1237					Baheng, West	七	tɕaŋ⁴⁴
10516	bahengeast-Chen-2013-888-434-1		bahengeast	Chen-2013-888-434	tɕa³¹	tɕa³¹	tɕ a ³¹		Chen2013			七	1704	SEVEN	Baheng, East	pahn1237					Baheng, East	七	tɕa³¹
#
1916	luobuohewestern-Chen-2013-888-79-1		luobuohewestern	Chen-2013-888-79	ʔə⁰²ʐoŋ⁵⁵	ʔə⁰²ʐoŋ⁵⁵	ʔ ə ²/⁰ + ʐ o ŋ ⁵⁵		Chen2013			丈夫	1200	HUSBAND	Luobuohe, Western	luop1235					Luobuohe, Western	丈夫	ʔə²/⁰+ʐoŋ⁵⁵
1917	chuanqiandian-Chen-2013-888-79-1		chuanqiandian	Chen-2013-888-79	ʑeu¹³; vou⁵⁵	ʑeu¹³	ʑ eu ¹³		Chen2013			丈夫	1200	HUSBAND	Chuanqiandian	chua1256					Chuanqiandian	丈夫	ʑeu¹³
1919	chuanqiandiansouthernguizhou-Chen-2013-888-79-1		chuanqiandiansouthernguizhou	Chen-2013-888-79	ʂəŋ¹¹	ʂəŋ¹¹	ʂ ə ŋ ¹¹		Chen2013			丈夫	1200	HUSBAND	Chuanqiandian, Southern Guizhou	cent1394					Chuanqiandian, Southern Guizhou	丈夫	ʂəŋ¹¹
1920	chuanqiandiannortheastyunnan-Chen-2013-888-79-1		chuanqiandiannortheastyunnan	Chen-2013-888-79	vau⁵⁵	vau⁵⁵	v au ⁵⁵		Chen2013			丈夫	1200	HUSBAND	Chuanqiandian, Northeast Yunnan	larg1235					Chuanqiandian, Northeast Yunnan	丈夫	vau⁵⁵
1924	qiandongeast-Chen-2013-888-79-1		qiandongeast	Chen-2013-888-79	ʑo¹³	ʑo¹³	ʑ o ¹³		Chen2013			丈夫	1200	HUSBAND	Qiandong, East	east2370					Qiandong, East	丈夫	ʑo¹³
1926	qiandongwest-Chen-2013-888-79-1		qiandongwest	Chen-2013-888-79	ɣɔ¹³	ɣɔ¹³	ɣ ɔ ¹³		Chen2013			丈夫	1200	HUSBAND	Qiandong, West						Qiandong, West	丈夫	ɣɔ¹³
1915	luobuoheeastern-Chen-2013-888-79-1		luobuoheeastern	Chen-2013-888-79	qo⁰⁵ʐuŋ⁵⁵	qo⁰⁵ʐuŋ⁵⁵	q o ⁵/⁰ + ʐ u ŋ ⁵⁵		Chen2013			丈夫	1200	HUSBAND	Luobuohe, Eastern	luop1235					Luobuohe, Eastern	丈夫	qo⁵/⁰+ʐuŋ⁵⁵
1918	chuanqiandiancentralguizhou-Chen-2013-888-79-1		chuanqiandiancentralguizhou	Chen-2013-888-79	qə⁰²pa¹³	qə⁰²pa¹³	q ə ²/⁰ + p a ¹³		Chen2013			丈夫	1200	HUSBAND	Chuanqiandian, Central Guizhou	nort2749					Chuanqiandian, Central Guizhou	丈夫	qə²/⁰+pa¹³
1927	bahengwest-Chen-2013-888-79-1		bahengwest	Chen-2013-888-79	ʔa⁰³wei³¹	ʔa⁰³wei³¹	ʔ a ³/⁰ + w ei ³¹		Chen2013			丈夫	1200	HUSBAND	Baheng, West	pahn1237					Baheng, West	丈夫	ʔa³/⁰+wei³¹
1928	bahengeast-Chen-2013-888-79-1		bahengeast	Chen-2013-888-79	tɕi³¹nai³³	tɕi³¹nai³³	tɕ i ³¹ + n ai ³³		Chen2013			丈夫	1200	HUSBAND	Baheng, East	pahn1237					Baheng, East	丈夫	tɕi³¹+nai³³
#
10403	luobuoheeastern-Chen-2013-888-430-1		luobuoheeastern	Chen-2013-888-430	pzi³¹	pzi³¹	p z i ³¹		Chen2013			三	492	THREE	Luobuohe, Eastern	luop1235					Luobuohe, Eastern	三	pzi³¹
10404	luobuohewestern-Chen-2013-888-430-1		luobuohewestern	Chen-2013-888-430	pji³¹	pji³¹	p j i ³¹		Chen2013			三	492	THREE	Luobuohe, Western	luop1235					Luobuohe, Western	三	pji³¹
10405	chuanqiandian-Chen-2013-888-430-1		chuanqiandian	Chen-2013-888-430	pe⁴³	pe⁴³	p e ⁴³		Chen2013			三	492	THREE	Chuanqiandian	chua1256					Chuanqiandian	三	pe⁴³
10406	chuanqiandiancentralguizhou-Chen-2013-888-430-1		chuanqiandiancentralguizhou	Chen-2013-888-430	pɛ²⁴	pɛ²⁴	p ɛ ²⁴		Chen2013			三	492	THREE	Chuanqiandian, Central Guizhou	nort2749					Chuanqiandian, Central Guizhou	三	pɛ²⁴
10407	chuanqiandiansouthernguizhou-Chen-2013-888-430-1		chuanqiandiansouthernguizhou	Chen-2013-888-430	pæ³²	pæ³²	p æ ³²		Chen2013			三	492	THREE	Chuanqiandian, Southern Guizhou	cent1394					Chuanqiandian, Southern Guizhou	三	pæ³²
10408	chuanqiandiannortheastyunnan-Chen-2013-888-430-1		chuanqiandiannortheastyunnan	Chen-2013-888-430	tsɿ⁵⁵	tsɿ⁵⁵	ts ɿ ⁵⁵		Chen2013			三	492	THREE	Chuanqiandian, Northeast Yunnan	larg1235					Chuanqiandian, Northeast Yunnan	三	tsɿ⁵⁵
10412	qiandongeast-Chen-2013-888-430-1		qiandongeast	Chen-2013-888-430	pɛ²⁴	pɛ²⁴	p ɛ ²⁴		Chen2013			三	492	THREE	Qiandong, East	east2370					Qiandong, East	三	pɛ²⁴
10415	bahengwest-Chen-2013-888-430-1		bahengwest	Chen-2013-888-430	po³⁵	po³⁵	p o ³⁵		Chen2013			三	492	THREE	Baheng, West	pahn1237					Baheng, West	三	po³⁵
10416	bahengeast-Chen-2013-888-430-1		bahengeast	Chen-2013-888-430	po³⁵	po³⁵	p o ³⁵		Chen2013			三	492	THREE	Baheng, East	pahn1237					Baheng, East	三	po³⁵
10414	qiandongwest-Chen-2013-888-430-1		qiandongwest	Chen-2013-888-430	poi⁴⁴	poi⁴⁴	p o i ⁴⁴		Chen2013			三	492	THREE	Qiandong, West						Qiandong, West	三	poi⁴⁴
#
2238	luobuoheeastern-Chen-2013-888-92-1		luobuoheeastern	Chen-2013-888-92	qo⁰⁵ze³³	qo⁰⁵ze³³	q o ⁵/⁰ + z e ³³		Chen2013			下巴	1510	CHIN	Luobuohe, Eastern	luop1235					Luobuohe, Eastern	下巴	qo⁵/⁰+ze³³
2242	chuanqiandiansouthernguizhou-Chen-2013-888-92-1		chuanqiandiansouthernguizhou	Chen-2013-888-92	tɕi²²se³²	tɕi²²se³²	tɕ i ²² + s e ³²		Chen2013			下巴	1510	CHIN	Chuanqiandian, Southern Guizhou	cent1394					Chuanqiandian, Southern Guizhou	下巴	tɕi²²+se³²
