Grapheme	IPA
p	p
pj	pʲ
pw	pʷ
t	t
tj	tʲ
ʈ	ʈ
c	c
k	k
kw	kʷ
kwj	kʷʲ
q	q
qw	qʷ
qwj	qʷʲ
ʔ	ʔ
pf	pf
tθ	tθ
ts	ts
tsj	tsʲ
tʃ	tʃ
tɬ	tɬ
tɬj	tɬʲ
tʂ	tʂ
tɕ	tɕ
ph	pʰ
pjh	pʲʰ
th	tʰ
tjh	tʲʰ
ʈh	ʈʰ
ch	cʰ
kh	kʰ
kwh	kʷʰ
kwjh	kʷʲʰ
qh	qʰ
qwh	qʷʰ
qwjh	qʷʲʰ
ʔh	ʔʰ
pfh	pfʰ
tθh	tθʰ
tsh	tsʰ
tʃh	tʃʰ
tɬh	tɬʰ
tɬjh	tɬʲʰ
tʂh	tʂʰ
tɕh	tɕʰ
b	b
bj	bʲ
d	d
dj	dʲ
ɖ	ɖ
ɟ	ɟ
ɡ	ɡ
ɡw	ɡʷ
ɡwj	ɡʷʲ
ɢ	ɢ
ɢw	ɢʷ
dz	dz
dʐ	dʐ
dl	dˡ
dlj	dˡʲ
dʒ	dʒ
dʑ	dʑ
m	m
mj	mʲ
n	n
nj	nʲ
ɳ	ɳ
ȵ	ȵ
ŋ	ŋ
ŋw	ŋʷ
m̥	m̥
m̥j	m̥ʲ
n̥	n̥
n̥j	n̥ʲ
ȵ̥	ȵ̥
ɳ̥	ɳ̥
ŋ̥	ŋ̥
ŋ̥w	ŋ̥ʷ
m̥h	m̥ʰ
n̥h	n̥ʰ
n̥jh	n̥ʲʰ
l	l
lj	lʲ
ɭ	ɭ
ɬ	ɬ
ɬj	ɬʲ
ʄ	ʄ
ɬh	ɬʰ
ɬjh	ɬʲʰ
