ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY
8445	347	a type of rake	Numao	Numao	kwaŋ⁵³	kwaŋ⁵³	k w a ŋ ⁵³	numa1251		25.447767	108.064732	
8446	347	a type of rake	CentralGuizhouChuanqiandian	Chuanqiandian, Central Guizhou	pu⁵⁵	pu⁵⁵	p u ⁵⁵	nort2749		26.231562	106.861969	
14105	580	alive (living)	WesternQiandong	Qiandong, West	ɣa²²	ɣa²²	ɣ a ²²		1422	26.43106	107.68758	
14106	580	alive (living)	EasternBahen	Baheng, East	ho³⁵	ho³⁵	h o ³⁵	pahn1237	1422	27.11733	111.02615	
14107	580	alive (living)	WesternBaheng	Baheng, West	ha³⁵nje³³	ha³⁵nje³³	h a ³⁵ + nʲ e ³³	pahn1237	1422	25.74971	109.286281	
14109	580	alive (living)	Bana	Bana	ho³⁵	ho³⁵	h o ³⁵		1422	26.265147	110.096902	
14111	580	alive (living)	EasternXiangxi	Xiangxi, East	ȵuŋ⁵⁵	ȵuŋ⁵⁵	ȵ u ŋ ⁵⁵	east2371	1422	28.124036	109.890473	
14112	580	alive (living)	WesternXiangxi	Xiangxi, West	ȵu²²	ȵu²²	ȵ u ²²	west2430	1422	28.33212	109.422366	
14115	580	alive (living)	ZaoMin	Zao Min	saŋ²²	saŋ²²	s a ŋ ²²	dzao1238	1422	24.612303	112.266749	
14118	580	alive (living)	Chuanqiandian	Chuanqiandian	tɕa³¹	tɕa³¹	tɕ a ³¹	chua1256	1422	27.51846	105.421028	
14120	580	alive (living)	Younuo	Younuo	ha³²	ha³²	h a ³²	youn1235	1422	25.730893	110.115975	
14121	580	alive (living)	BiaoMin	Biao Min	xuə²¹	xuə²¹	x u/w ə ²¹	biao1254	1422	25.82286	111.29622	
14122	580	alive (living)	EasternLuobuohe	Luobuohe, Eastern	tə⁰²ʑe³¹	tə⁰²ʑe³¹	t ə ⁰/² + ʑ e ³¹	luop1235	1422	26.63966	107.913354	
14123	580	alive (living)	WesternLuobuohe	Luobuohe, Western	tə⁰²ʑe³¹	tə⁰²ʑe³¹	t ə ⁰/² + ʑ e ³¹	luop1235	1422	26.854607	107.226676	
14125	580	alive (living)	EasternQiandong	Qiandong, East	ho³⁵	ho³⁵	h o ³⁵	east2370	1422	27.78098	110.499463	
