ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT	STRUCTURE
12452	513	I	WesternLuobuohe	Luobuohe, Western	kɑŋ⁵⁵	kɑŋ⁵⁵	k ɑ ŋ ⁵⁵	luop1235	1209	26.854607	107.226676		1 7 4 8	AXLT	KAN5	11	11.K.C 11.A.V 11.N.c 11.5.T	1.6 3.0 1.1 1.0	kɑŋ⁵⁵	0	14	k - ɑ ŋ ⁵⁵	i n c t
12455	513	I	BiaoMin	Biao Min	kəu³⁵	kəu³⁵	k əu ³⁵	biao1254	1209	25.82286	111.29622		1 7 8	AXT	KE2	2	2.K.C 2.E.V 2.2.T	1.6 3.0 1.0	kəu³⁵	0	14	k - əu - ³⁵	i n t
12457	513	I	ZaoMin	Zao Min	tsja⁴⁴	tsja⁴⁴	ts j a ⁴⁴	dzao1238	1209	24.612303	112.266749		2 6 7 8	ACXT	CJA5	15	15.C.C 15.J.C 15.A.V 15.5.T	1.6 1.2 3.0 1.0	tsja⁴⁴	0	17	ts j a ⁴⁴	i m n t
12459	513	I	Younuo	Younuo	vo³²	vo³²	v o ³²	youn1235	1209	25.730893	110.115975		3 7 8	AXT	BU3	14	14.B.C 14.U.V 14.3.T	1.6 3.0 1.0	vo³²	0	15	v - o ³²	i n t
12462	513	I	CentralGuizhouChuanqiandian	Chuanqiandian, Central Guizhou	ŋ̩²⁴	ŋ̩²⁴	ŋ̩ ²⁴	nort2749	1209	26.231562	106.861969		4 8	AT	N2	3	3.N.C 3.2.T	1.6 1.0	ŋ̩²⁴	0	18	ŋ̩ ²⁴	i t
12463	513	I	WesternXiangxi	Xiangxi, West	we²²	we²²	w e ²²	west2430	1209	28.33212	109.422366		6 7 8	AXT	WE1	13	13.W.C 13.E.V 13.1.T	1.6 3.0 1.0	we²²	0	15	- w e ²²	m n t
12464	513	I	EasternLuobuohe	Luobuohe, Eastern	kaŋ⁵⁵	kaŋ⁵⁵	k a ŋ ⁵⁵	luop1235	1209	26.63966	107.913354		1 7 4 8	AXLT	KAN5	6	6.K.C 6.A.V 6.N.c 6.5.T	1.6 3.0 1.1 1.0	kaŋ⁵⁵	0	14	k - a ŋ ⁵⁵	i n c t
12468	513	I	Bana	Bana	va²²	va²²	v a ²²		1209	26.265147	110.096902		3 7 8	AXT	BA1	1	1.B.C 1.A.V 1.1.T	1.6 3.0 1.0	va²²	0	15	v - a ²²	i n t
12469	513	I	EasternXiangxi	Xiangxi, East	wei⁵⁵	wei⁵⁵	w ei ⁵⁵	east2371	1209	28.124036	109.890473		6 7 8	AXT	WE5	8	8.W.C 8.E.V 8.5.T	1.6 3.0 1.0	wei⁵⁵	0	15	- w ei ⁵⁵	m n t
12470	513	I	EasternQiandong	Qiandong, East	ʑi²¹²	ʑi²¹²	ʑ i ²¹²	east2370	1209	27.78098	110.499463		3 7 8	AXT	SI6	7	7.S.C 7.I.V 7.6.T	1.6 3.0 1.0	ʑi²¹²	0	16	ʑ i ²¹²	i n t
12471	513	I	WesternQiandong	Qiandong, West	vei²¹	vei²¹	v ei ²¹		1209	26.43106	107.68758		3 7 8	AXT	BE3	12	12.B.C 12.E.V 12.3.T	1.6 3.0 1.0	vei²¹	0	15	v - ei ²¹	i n t
12472	513	I	EasternBahen	Baheng, East	waŋ¹¹	waŋ¹¹	w a ŋ ¹¹	pahn1237	1209	27.11733	111.02615		6 7 4 8	AXLT	WAN1	5	5.W.C 5.A.V 5.N.c 5.1.T	1.6 3.0 1.1 1.0	waŋ¹¹	0	14	- w a ŋ ¹¹	m n c t
12473	513	I	Chuanqiandian	Chuanqiandian	ko⁵⁵	ko⁵⁵	k o ⁵⁵	chua1256	1209	27.51846	105.421028		1 7 8	AXT	KU5	4	4.K.C 4.U.V 4.5.T	1.6 3.0 1.0	ko⁵⁵	0	14	k - o - ⁵⁵	i n t
6213	255	a group of Miao people	WesternBaheng	Baheng, West	ŋai³³	ŋai³³	ŋ ai ³³	pahn1237		25.74971	109.286281		4 7 8	AXT	NA4	10	10.N.C 10.A.V 10.4.T	1.6 3.0 1.0	ŋai³³	0	23	ŋ ai - ³³	i n t
6214	255	a group of Miao people	Numao	Numao	tɕou³³tɕan⁴⁴	tɕou³³tɕan⁴⁴	tɕ ɔ ³³ + tɕ a n ⁴⁴	numa1251		25.447767	108.064732		2 7 8 9 2 7 4 8	AXT_AXLT	CU4_CAN5	9	9.C.C 9.U.V 9.4.T 9._._ 9.C.C 9.A.V 9.N.c 9.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	tɕɔ³³+tɕan⁴⁴	0	21 22	tɕ ɔ ³³ + tɕ - a n ⁴⁴	i n t + i n c t
6215	255	a group of Miao people	WesternLuobuohe	Luobuohe, Western	ʔə⁰²ȵdʑin³¹	ʔə⁰²ȵdʑin³¹	ʔ ə ⁰/² + ⁿdʑ i n ³¹	luop1235		26.854607	107.226676		1 7 8 9 2 7 4 8	AXT_AXLT	HE6_CIN3	11	11.H.C 11.E.V 11.6.T 11._._ 11.C.C 11.I.V 11.N.c 11.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	ʔə⁰/²+ⁿdʑin³¹	0	27 22	ʔ ə ⁰/² + ⁿdʑ - i n ³¹	i n t + i n c t
6218	255	a group of Miao people	BiaoMin	Biao Min	tjɛn⁴²	tjɛn⁴²	t j ɛ n ⁴²	biao1254		25.82286	111.29622		1 6 7 4 8	ACXLT	TJEN3	2	2.T.C 2.J.C 2.E.V 2.N.c 2.3.T	1.6 1.2 3.0 1.1 1.0	tjɛn⁴²	0	22	t j ɛ n ⁴²	i m n c t
6220	255	a group of Miao people	ZaoMin	Zao Min	tjan²²	tjan²²	t j a n ²²	dzao1238		24.612303	112.266749		1 6 7 4 8	ACXLT	TJAN1	15	15.T.C 15.J.C 15.A.V 15.N.c 15.1.T	1.6 1.2 3.0 1.1 1.0	tjan²²	0	22	t j a n ²²	i m n c t
6222	255	a group of Miao people	Younuo	Younuo	te²¹	te²¹	t e ²¹	youn1235		25.730893	110.115975		1 7 8	AXT	TE3	14	14.T.C 14.E.V 14.3.T	1.6 3.0 1.0	te²¹	0	20	t e ²¹	i n t
6225	255	a group of Miao people	WesternXiangxi	Xiangxi, West	ʐei³⁵mpe⁴⁴ȵi³¹	ʐei³⁵mpe⁴⁴ȵi³¹	ʐ ei ³⁵ + ⁿp e ⁴⁴ + ȵ i ³¹	west2430		28.33212	109.422366		3 7 8 9 1 7 8 9 4 7 8	AXT_AXT_AXT	SE2_PE5_NI3	13	13.S.C 13.E.V 13.2.T 13._._ 13.P.C 13.E.V 13.5.T 13._._ 13.N.C 13.I.V 13.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	ʐei³⁵+ⁿpe⁴⁴+ȵi³¹	0	26 25 23	ʐ ei ³⁵ + ⁿp e ⁴⁴ + ȵ i - ³¹	i n t + i n t + i n t
6226	255	a group of Miao people	EasternLuobuohe	Luobuohe, Eastern	qo⁰⁵ȵdʑin³¹	qo⁰⁵ȵdʑin³¹	q o ⁰/⁵ + ⁿdʑ i n ³¹	luop1235		26.63966	107.913354		1 7 8 9 2 7 4 8	AXT_AXLT	KU6_CIN3	6	6.K.C 6.U.V 6.6.T 6._._ 6.C.C 6.I.V 6.N.c 6.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	qo⁰/⁵+ⁿdʑin³¹	0	24 22	q o ⁰/⁵ + ⁿdʑ - i n ³¹	i n t + i n c t
6229	255	a group of Miao people	Bana	Bana	naŋ³¹diŋ¹³tsʰo³⁵	naŋ³¹diŋ¹³tsʰo³⁵	n a ŋ ³¹ + d i ŋ ¹³ + tsʰ o ³⁵			26.265147	110.096902		4 7 4 8 9 1 7 4 8 9 2 7 8	AXLT_AXLT_AXT	NAN3_TIN2_CU2	1	1.N.C 1.A.V 1.N.c 1.3.T 1._._ 1.T.C 1.I.V 1.N.c 1.2.T 1._._ 1.C.C 1.U.V 1.2.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	naŋ³¹+diŋ¹³+tsʰo³⁵	0	23 22 21	n a ŋ ³¹ + d - i ŋ ¹³ + tsʰ o ³⁵	i n c t + i n c t + i n t
6230	255	a group of Miao people	EasternXiangxi	Xiangxi, East	lan³¹tjen¹³	lan³¹tjen¹³	l a n ³¹ + t j e n ¹³	east2371		28.124036	109.890473		5 7 4 8 9 1 6 7 4 8	AXLT_ACXLT	LAN3_TJEN2	8	8.L.C 8.A.V 8.N.c 8.3.T 8._._ 8.T.C 8.J.C 8.E.V 8.N.c 8.2.T	1.6 3.0 1.1 1.0 0.0 1.6 1.2 3.0 1.1 1.0	lan³¹+tjen¹³	0	29 22	l a n ³¹ + t j e n ¹³	i n c t + i m n c t
6231	255	a group of Miao people	WesternQiandong	Qiandong, West	pa²²ŋe⁵⁵	pa²²ŋe⁵⁵	p a ²² + ŋ e ⁵⁵			26.43106	107.68758		1 7 8 9 4 7 8	AXT_AXT	PA1_NE5	12	12.P.C 12.A.V 12.1.T 12._._ 12.N.C 12.E.V 12.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	pa²²+ŋe⁵⁵	0	25 23	p a ²² + ŋ e - ⁵⁵	i n t + i n t
6232	255	a group of Miao people	EasternBahen	Baheng, East	ŋqei³³	ŋqei³³	ⁿq ei ³³	pahn1237		27.11733	111.02615		1 7 8	AXT	KE4	5	5.K.C 5.E.V 5.4.T	1.6 3.0 1.0	ⁿqei³³	0	28	ⁿq ei ³³	i n t
6233	255	a group of Miao people	Chuanqiandian	Chuanqiandian	ŋaŋ³¹	ŋaŋ³¹	ŋ a ŋ ³¹	chua1256		27.51846	105.421028		4 7 4 8	AXLT	NAN3	4	4.N.C 4.A.V 4.N.c 4.3.T	1.6 3.0 1.1 1.0	ŋaŋ³¹	0	23	ŋ a ŋ ³¹	i n c t
6405	263	a type of bread	WesternBaheng	Baheng, West	ŋo³¹	ŋo³¹	ŋ o ³¹	pahn1237		25.74971	109.286281		4 7 8	AXT	NU3	10	10.N.C 10.U.V 10.3.T	1.6 3.0 1.0	ŋo³¹	0	31	ŋ o ³¹	i n t
6406	263	a type of bread	Numao	Numao	ȵtɕu¹³	ȵtɕu¹³	ⁿtɕ u ¹³	numa1251		25.447767	108.064732		2 7 8	AXT	CY2	9	9.C.C 9.Y.V 9.2.T	1.6 3.0 1.0	ⁿtɕu¹³	0	32	ⁿtɕ - u ¹³	i n t
6409	263	a type of bread	BiaoMin	Biao Min	dju³⁵	dju³⁵	d j u ³⁵	biao1254		25.82286	111.29622		1 6 7 8	ACXT	TJY2	2	2.T.C 2.J.C 2.Y.V 2.2.T	1.6 1.2 3.0 1.0	dju³⁵	0	32	d j u ³⁵	i m n t
6411	263	a type of bread	ZaoMin	Zao Min	gu²⁴	gu²⁴	g u ²⁴	dzao1238		24.612303	112.266749		1 7 8	AXT	KY2	15	15.K.C 15.Y.V 15.2.T	1.6 3.0 1.0	gu²⁴	0	32	g - u ²⁴	i n t
6413	263	a type of bread	Younuo	Younuo	ŋu³³	ŋu³³	ŋ u ³³	youn1235		25.730893	110.115975		4 7 8	AXT	NY4	14	14.N.C 14.Y.V 14.4.T	1.6 3.0 1.0	ŋu³³	0	31	ŋ u ³³	i n t
6416	263	a type of bread	CentralGuizhouChuanqiandian	Chuanqiandian, Central Guizhou	ŋku¹³	ŋku¹³	ⁿk u ¹³	nort2749		26.231562	106.861969		1 7 8	AXT	KY2	3	3.K.C 3.Y.V 3.2.T	1.6 3.0 1.0	ⁿku¹³	0	32	ⁿk - u ¹³	i n t
6417	263	a type of bread	WesternXiangxi	Xiangxi, West	mpe⁴⁴	mpe⁴⁴	ⁿp e ⁴⁴	west2430		28.33212	109.422366		1 7 8	AXT	PE5	13	13.P.C 13.E.V 13.5.T	1.6 3.0 1.0	ⁿpe⁴⁴	0	33	ⁿp e - ⁴⁴	i n t
6418	263	a type of bread	EasternLuobuohe	Luobuohe, Eastern	qo⁰⁵ŋka⁵⁵	qo⁰⁵ŋka⁵⁵	q o ⁰/⁵ + ⁿk a ⁵⁵	luop1235		26.63966	107.913354		1 7 8 9 1 7 8	AXT_AXT	KU6_KA5	6	6.K.C 6.U.V 6.6.T 6._._ 6.K.C 6.A.V 6.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	qo⁰/⁵+ⁿka⁵⁵	0	34 32	q o ⁰/⁵ + ⁿk - a ⁵⁵	i n t + i n t
6422	263	a type of bread	Bana	Bana	bon⁴⁴	bon⁴⁴	b o n ⁴⁴			26.265147	110.096902		1 7 4 8	AXLT	PUN5	1	1.P.C 1.U.V 1.N.c 1.5.T	1.6 3.0 1.1 1.0	bon⁴⁴	0	33	b o n ⁴⁴	i n c t
6423	263	a type of bread	EasternXiangxi	Xiangxi, East	gɯ⁵⁵	gɯ⁵⁵	g ɯ ⁵⁵	east2371		28.124036	109.890473		1 7 8	AXT	KI5	8	8.K.C 8.I.V 8.5.T	1.6 3.0 1.0	gɯ⁵⁵	0	32	g - ɯ ⁵⁵	i n t
6424	263	a type of bread	EasternQiandong	Qiandong, East	tɕou³³	tɕou³³	tɕ ɔ ³³	east2370		27.78098	110.499463		2 7 8	AXT	CU4	7	7.C.C 7.U.V 7.4.T	1.6 3.0 1.0	tɕɔ³³	0	32	tɕ - ɔ ³³	i n t
6425	263	a type of bread	WesternQiandong	Qiandong, West	pɔ¹¹tɕa¹³	pɔ¹¹tɕa¹³	p ɔ ¹¹ + tɕ a ¹³			26.43106	107.68758		1 7 8 9 2 7 8	AXT_AXT	PU1_CA2	12	12.P.C 12.U.V 12.1.T 12._._ 12.C.C 12.A.V 12.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	pɔ¹¹+tɕa¹³	0	33 32	p ɔ - ¹¹ + tɕ - a ¹³	i n t + i n t
6426	263	a type of bread	EasternBahen	Baheng, East	ŋko³¹³	ŋko³¹³	ⁿk o ³¹³	pahn1237		27.11733	111.02615		1 7 8	AXT	KU6	5	5.K.C 5.U.V 5.6.T	1.6 3.0 1.0	ⁿko³¹³	0	32	ⁿk - o ³¹³	i n t
6427	263	a type of bread	Chuanqiandian	Chuanqiandian	ȵtɕua⁵⁵	ȵtɕua⁵⁵	ⁿtɕ u/w a ⁵⁵	chua1256		27.51846	105.421028		2 6 7 8	ACXT	CWA5	4	4.C.C 4.W.C 4.A.V 4.5.T	1.6 1.2 3.0 1.0	ⁿtɕu/wa⁵⁵	0	32	ⁿtɕ u/w a ⁵⁵	i m n t
8427	347	a type of rake	WesternBaheng	Baheng, West	ke³¹	ke³¹	k e ³¹	pahn1237		25.74971	109.286281		1 7 8	AXT	KE3	10	10.K.C 10.E.V 10.3.T	1.6 3.0 1.0	ke³¹	0	37	k - e - ³¹	i n t
8428	347	a type of rake	Numao	Numao	kwaŋ⁵³	kwaŋ⁵³	k w a ŋ ⁵³	numa1251		25.447767	108.064732		1 6 7 4 8	ACXLT	KWAN3	9	9.K.C 9.W.C 9.A.V 9.N.c 9.3.T	1.6 1.2 3.0 1.1 1.0	kwaŋ⁵³	0	37	k w a ŋ ⁵³	i m n c t
8431	347	a type of rake	BiaoMin	Biao Min	kwai²⁴pa³¹	kwai²⁴pa³¹	k w ai ²⁴ + p a ³¹	biao1254		25.82286	111.29622		1 6 7 8 9 1 7 8	ACXT_AXT	KWA2_PA3	2	2.K.C 2.W.C 2.A.V 2.2.T 2._._ 2.P.C 2.A.V 2.3.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	kwai²⁴+pa³¹	0	37 36	k w ai - ²⁴ + p - a ³¹	i m n t + i n t
8434	347	a type of rake	Younuo	Younuo	ɬju⁵⁵tsʰi³³	ɬju⁵⁵tsʰi³³	ɬ j u ⁵⁵ + tsʰ i ³³	youn1235		25.730893	110.115975		5 6 7 8 9 2 7 8	ACXT_AXT	LJY5_CI4	14	14.L.C 14.J.C 14.Y.V 14.5.T 14._._ 14.C.C 14.I.V 14.4.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	ɬju⁵⁵+tsʰi³³	0	40 43	ɬ j u ⁵⁵ + tsʰ i ³³	i m n t + i n t
8437	347	a type of rake	CentralGuizhouChuanqiandian	Chuanqiandian, Central Guizhou	pu⁵⁵	pu⁵⁵	p u ⁵⁵	nort2749		26.231562	106.861969		1 7 8	AXT	PY5	3	3.P.C 3.Y.V 3.5.T	1.6 3.0 1.0	pu⁵⁵	0	36	p - u ⁵⁵	i n t
8438	347	a type of rake	WesternXiangxi	Xiangxi, West	kʰɔ⁴⁴pʐɑ³¹	kʰɔ⁴⁴pʐɑ³¹	kʰ ɔ ⁴⁴ + p ʐ ɑ ³¹	west2430		28.33212	109.422366		1 7 8 9 1 3 7 8	AXT_ACXT	KU5_PSA3	13	13.K.C 13.U.V 13.5.T 13._._ 13.P.C 13.S.C 13.A.V 13.3.T	1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0	kʰɔ⁴⁴+pʐɑ³¹	0	37 36	kʰ - ɔ - ⁴⁴ + p ʐ ɑ ³¹	i n t + i m n t
8439	347	a type of rake	EasternLuobuohe	Luobuohe, Eastern	tɕo³¹va³¹	tɕo³¹va³¹	tɕ o ³¹ + v a ³¹	luop1235		26.63966	107.913354		2 7 8 9 3 7 8	AXT_AXT	CU3_BA3	6	6.C.C 6.U.V 6.3.T 6._._ 6.B.C 6.A.V 6.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	tɕo³¹+va³¹	0	39 36	tɕ o ³¹ + v - a ³¹	i n t + i n t
8442	347	a type of rake	Bana	Bana	tjaŋ⁵⁵tjeu³¹³pja³¹³	tjaŋ⁵⁵tjeu³¹³pja³¹³	t j a ŋ ⁵⁵ + t j eu ³¹³ + p j a ³¹³			26.265147	110.096902		1 6 7 4 8 9 1 6 7 8 9 1 6 7 8	ACXLT_ACXT_ACXT	TJAN5_TJE6_PJA6	1	1.T.C 1.J.C 1.A.V 1.N.c 1.5.T 1._._ 1.T.C 1.J.C 1.E.V 1.6.T 1._._ 1.P.C 1.J.C 1.A.V 1.6.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 1.2 3.0 1.0 0.0 1.6 1.2 3.0 1.0	tjaŋ⁵⁵+tjeu³¹³+pja³¹³	0	42 41 36	t j a ŋ ⁵⁵ + t j eu ³¹³ + p j a ³¹³	i m n c t + i m n t + i m n t
