ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	PARTIAL_COGNATE_SETS
5447	223	(rice) seedling	Younuo	Younuo	jeu⁴⁴	jeu⁴⁴	j eu ⁴⁴	youn1235	3050	25.730893	110.115975		6 7 8	AXT	JE5	14	14.J.C 14.E.V 14.5.T	1.6 3.0 1.0	jeu⁴⁴	0	18
5450	223	(rice) seedling	CentralGuizhouChuanqiandian	Chuanqiandian, Central Guizhou	ʑə̃²⁴	ʑə̃²⁴	ʑ ə̃ ²⁴	nort2749	3050	26.231562	106.861969		3 7 8	AXT	SE2	3	3.S.C 3.E.V 3.2.T	1.6 3.0 1.0	ʑə̃²⁴	0	14
5451	223	(rice) seedling	WesternXiangxi	Xiangxi, West	qo³⁵ʑɑŋ³⁵	qo³⁵ʑɑŋ³⁵	q o ³⁵ + ʑ ɑ ŋ ³⁵	west2430	3050	28.33212	109.422366		1 7 8 9 3 7 4 8	AXT_AXLT	KU2_SAN2	13	13.K.C 13.U.V 13.2.T 13._._ 13.S.C 13.A.V 13.N.c 13.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	qo³⁵+ʑɑŋ³⁵	0	19 15
5452	223	(rice) seedling	EasternLuobuohe	Luobuohe, Eastern	qo⁰⁵ʔjaŋ³¹	qo⁰⁵ʔjaŋ³¹	q o ⁰/⁵ + ˀj a ŋ ³¹	luop1235	3050	26.63966	107.913354		1 7 8 9 6 7 4 8	AXT_AXLT	KU6_JAN3	6	6.K.C 6.U.V 6.6.T 6._._ 6.J.C 6.A.V 6.N.c 6.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	qo⁰/⁵+ˀjaŋ³¹	0	19 15
5456	223	(rice) seedling	Bana	Bana	ʑon¹³	ʑon¹³	ʑ o n ¹³		3050	26.265147	110.096902		3 7 4 8	AXLT	SUN2	1	1.S.C 1.U.V 1.N.c 1.2.T	1.6 3.0 1.1 1.0	ʑon¹³	0	15
5457	223	(rice) seedling	EasternXiangxi	Xiangxi, East	ʑaŋ⁵⁵	ʑaŋ⁵⁵	ʑ a ŋ ⁵⁵	east2371	3050	28.124036	109.890473		3 7 4 8	AXLT	SAN5	8	8.S.C 8.A.V 8.N.c 8.5.T	1.6 3.0 1.1 1.0	ʑaŋ⁵⁵	0	15
5458	223	(rice) seedling	EasternQiandong	Qiandong, East	ʑi²⁴	ʑi²⁴	ʑ i ²⁴	east2370	3050	27.78098	110.499463		3 7 8	AXT	SI2	7	7.S.C 7.I.V 7.2.T	1.6 3.0 1.0	ʑi²⁴	0	14
5459	223	(rice) seedling	WesternQiandong	Qiandong, West	ʑi⁴⁴	ʑi⁴⁴	ʑ i ⁴⁴		3050	26.43106	107.68758		3 7 8	AXT	SI5	12	12.S.C 12.I.V 12.5.T	1.6 3.0 1.0	ʑi⁴⁴	0	14
5460	223	(rice) seedling	EasternBahen	Baheng, East	ʑaŋ³⁵	ʑaŋ³⁵	ʑ a ŋ ³⁵	pahn1237	3050	27.11733	111.02615		3 7 4 8	AXLT	SAN2	5	5.S.C 5.A.V 5.N.c 5.2.T	1.6 3.0 1.1 1.0	ʑaŋ³⁵	0	15
5461	223	(rice) seedling	Chuanqiandian	Chuanqiandian	ʑo⁴³	ʑo⁴³	ʑ o ⁴³	chua1256	3050	27.51846	105.421028		3 7 8	AXT	SU3	4	4.S.C 4.U.V 4.3.T	1.6 3.0 1.0	ʑo⁴³	0	14
