ID	ID	LOCAL_ID	LANGUAGE_ID	PARAMETER_ID	VALUE	FORM	SEGMENTS	COMMENT	SOURCE	COGNACY	LOAN	CONCEPT_NAME	CONCEPT_CONCEPTICON_ID	CONCEPT_CONCEPTICON_GLOSS	LANGUAGE_NAME	LANGUAGE_GLOTTOCODE	LANGUAGE_GLOTTOLOG_NAME	LANGUAGE_ISO639P3CODE	LANGUAGE_MACROAREA	LANGUAGE_FAMILY	DOCULECT	CONCEPT	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGIDS	STRUCTURE	ALIGNMENT	CROSSIDS	PATTERNS
10505	chuanqiandian-Chen-2013-888-434-1		chuanqiandian	Chen-2013-888-434	ɕaŋ⁴⁴	ɕaŋ⁴⁴	ɕ a ŋ ⁴⁴		Chen2013			七	1704	SEVEN	Chuanqiandian	chua1256					chuanqiandian	七	ɕaŋ⁴⁴	3 7 4 8	AXLT	SAN5	3	3.S.C 3.A.V 3.N.c 3.5.T	1.6 3.0 1.1 1.0	0	4	i n c t	ɕ a ŋ ⁴⁴	4	408-2/tɕ 241-3/a 164-20/ŋ 403-2/³¹
10506	chuanqiandiancentralguizhou-Chen-2013-888-434-1		chuanqiandiancentralguizhou	Chen-2013-888-434	sã²²	sã²²	s ã ²²		Chen2013			七	1704	SEVEN	Chuanqiandian, Central Guizhou	nort2749					chuanqiandiancentralguizhou	七	sã²²	3 7 8	AXT	SA1	4	4.S.C 4.A.V 4.1.T	1.6 3.0 1.0	0	4	i n t	s ã - ²²	4	408-2/tɕ 241-3/a 164-20/ŋ 403-2/³¹
10507	chuanqiandiansouthernguizhou-Chen-2013-888-434-1		chuanqiandiansouthernguizhou	Chen-2013-888-434	tɕaŋ¹³	tɕaŋ¹³	tɕ a ŋ ¹³		Chen2013			七	1704	SEVEN	Chuanqiandian, Southern Guizhou	cent1394					chuanqiandiansouthernguizhou	七	tɕaŋ¹³	2 7 4 8	AXLT	CAN2	6	6.C.C 6.A.V 6.N.c 6.2.T	1.6 3.0 1.1 1.0	0	4	i n c t	tɕ a ŋ ¹³	4	408-2/tɕ 241-3/a 164-20/ŋ 403-2/³¹
10508	chuanqiandiannortheastyunnan-Chen-2013-888-434-1		chuanqiandiannortheastyunnan	Chen-2013-888-434	ɕaɯ³³	ɕaɯ³³	ɕ aɯ ³³		Chen2013			七	1704	SEVEN	Chuanqiandian, Northeast Yunnan	larg1235					chuanqiandiannortheastyunnan	七	ɕaɯ³³	3 7 7 8	AXYT	SAI4	5	5.S.C 5.A.V 5.I.V 5.4.T	1.6 3.0 3.0 1.0	0	5	i n t	ɕ aɯ ³³	5	0/n 0/n 0/n
10512	qiandongeast-Chen-2013-888-434-1		qiandongeast	Chen-2013-888-434	ɕuŋ⁵³	ɕuŋ⁵³	ɕ u ŋ ⁵³		Chen2013			七	1704	SEVEN	Qiandong, East	east2370					qiandongeast	七	ɕuŋ⁵³	3 7 4 8	AXLT	SYN3	9	9.S.C 9.Y.V 9.N.c 9.3.T	1.6 3.0 1.1 1.0	0	4	i n c t	ɕ u ŋ ⁵³	4	408-2/tɕ 241-3/a 164-20/ŋ 403-2/³¹
10514	qiandongwest-Chen-2013-888-434-1		qiandongwest	Chen-2013-888-434	ɕuŋ²²	ɕuŋ²²	ɕ u ŋ ²²		Chen2013			七	1704	SEVEN	Qiandong, West						qiandongwest	七	ɕuŋ²²	3 7 4 8	AXLT	SYN1	10	10.S.C 10.Y.V 10.N.c 10.1.T	1.6 3.0 1.1 1.0	0	4	i n c t	ɕ u ŋ ²²	4	408-2/tɕ 241-3/a 164-20/ŋ 403-2/³¹
10515	bahengwest-Chen-2013-888-434-1		bahengwest	Chen-2013-888-434	tɕaŋ⁴⁴	tɕaŋ⁴⁴	tɕ a ŋ ⁴⁴		Chen2013			七	1704	SEVEN	Baheng, West	pahn1237					bahengwest	七	tɕaŋ⁴⁴	2 7 4 8	AXLT	CAN5	2	2.C.C 2.A.V 2.N.c 2.5.T	1.6 3.0 1.1 1.0	0	4	i n c t	tɕ a ŋ ⁴⁴	4	408-2/tɕ 241-3/a 164-20/ŋ 403-2/³¹
10516	bahengeast-Chen-2013-888-434-1		bahengeast	Chen-2013-888-434	tɕa³¹	tɕa³¹	tɕ a ³¹		Chen2013			七	1704	SEVEN	Baheng, East	pahn1237					bahengeast	七	tɕa³¹	2 7 8	AXT	CA3	1	1.C.C 1.A.V 1.3.T	1.6 3.0 1.0	0	6	i n t	tɕ a ³¹	6	0/n 0/n 0/n
1916	luobuohewestern-Chen-2013-888-79-1		luobuohewestern	Chen-2013-888-79	ʔə⁰²ʐoŋ⁵⁵	ʔə⁰²ʐoŋ⁵⁵	ʔ ə ²/⁰ + ʐ o ŋ ⁵⁵		Chen2013			丈夫	1200	HUSBAND	Luobuohe, Western	luop1235					luobuohewestern	丈夫	ʔə²/⁰+ʐoŋ⁵⁵	1 7 8 9 3 7 4 8	AXT_AXLT	HE6_SUN5	8	8.H.C 8.E.V 8.6.T 8._._ 8.S.C 8.U.V 8.N.c 8.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	17 8	i n t + i n c t	ʔ ə ²/⁰ + ʐ o ŋ ⁵⁵	17 8	198-1/ʔ 362-2/a 153-4/⁰ + 287-3/Ø 471-2/u 263-27/ŋ 421-24/¹¹
1919	chuanqiandiansouthernguizhou-Chen-2013-888-79-1		chuanqiandiansouthernguizhou	Chen-2013-888-79	ʂəŋ¹¹	ʂəŋ¹¹	ʂ ə ŋ ¹¹		Chen2013			丈夫	1200	HUSBAND	Chuanqiandian, Southern Guizhou	cent1394					chuanqiandiansouthernguizhou	丈夫	ʂəŋ¹¹	3 7 4 8	AXLT	SEN1	6	6.S.C 6.E.V 6.N.c 6.1.T	1.6 3.0 1.1 1.0	0	8	i n c t	ʂ ə ŋ ¹¹	8	287-3/Ø 471-2/u 263-27/ŋ 421-24/¹¹
1920	chuanqiandiannortheastyunnan-Chen-2013-888-79-1		chuanqiandiannortheastyunnan	Chen-2013-888-79	vau⁵⁵	vau⁵⁵	v au ⁵⁵		Chen2013			丈夫	1200	HUSBAND	Chuanqiandian, Northeast Yunnan	larg1235					chuanqiandiannortheastyunnan	丈夫	vau⁵⁵	3 7 8	AXT	BA5	5	5.B.C 5.A.V 5.5.T	1.6 3.0 1.0	1	9	i n t	v au ⁵⁵	9	0/n 0/n 0/n
1924	qiandongeast-Chen-2013-888-79-1		qiandongeast	Chen-2013-888-79	ʑo¹³	ʑo¹³	ʑ o ¹³		Chen2013			丈夫	1200	HUSBAND	Qiandong, East	east2370					qiandongeast	丈夫	ʑo¹³	3 7 8	AXT	SU2	9	9.S.C 9.U.V 9.2.T	1.6 3.0 1.0	0	15	i n t	ʑ o ¹³	15	0/n 0/n 0/n
1926	qiandongwest-Chen-2013-888-79-1		qiandongwest	Chen-2013-888-79	ɣɔ¹³	ɣɔ¹³	ɣ ɔ ¹³		Chen2013			丈夫	1200	HUSBAND	Qiandong, West						qiandongwest	丈夫	ɣɔ¹³	3 7 8	AXT	GU2	10	10.G.C 10.U.V 10.2.T	1.6 3.0 1.0	0	10	i n t	ɣ ɔ ¹³	10	0/n 0/n 0/n
1927	bahengwest-Chen-2013-888-79-1		bahengwest	Chen-2013-888-79	ʔa⁰³wei³¹	ʔa⁰³wei³¹	ʔ a ³/⁰ + w ei ³¹		Chen2013			丈夫	1200	HUSBAND	Baheng, West	pahn1237					bahengwest	丈夫	ʔa³/⁰+wei³¹	1 7 8 9 6 7 8	AXT_AXT	HA6_WE3	2	2.H.C 2.A.V 2.6.T 2._._ 2.W.C 2.E.V 2.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	17 11	i n t + m n t	ʔ a ³/⁰ + w ei ³¹	17 11	198-1/ʔ 362-2/a 153-4/⁰ + 0/n 0/n 0/n
1928	bahengeast-Chen-2013-888-79-1		bahengeast	Chen-2013-888-79	tɕi³¹nai³³	tɕi³¹nai³³	tɕ i ³¹ + n ai ³³		Chen2013			丈夫	1200	HUSBAND	Baheng, East	pahn1237					bahengeast	丈夫	tɕi³¹+nai³³	2 7 8 9 4 7 8	AXT_AXT	CI3_NA4	1	1.C.C 1.I.V 1.3.T 1._._ 1.N.C 1.A.V 1.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	16 14	i n t + i n t	tɕ i ³¹ + n ai ³³	16 14	0/n 0/n 0/n + 0/n 0/n 0/n
1915	luobuoheeastern-Chen-2013-888-79-1		luobuoheeastern	Chen-2013-888-79	qo⁰⁵ʐuŋ⁵⁵	qo⁰⁵ʐuŋ⁵⁵	q o ⁵/⁰ + ʐ u ŋ ⁵⁵		Chen2013			丈夫	1200	HUSBAND	Luobuohe, Eastern	luop1235					luobuoheeastern	丈夫	qo⁵/⁰+ʐuŋ⁵⁵	1 7 8 9 3 7 4 8	AXT_AXLT	KU6_SYN5	7	7.K.C 7.U.V 7.6.T 7._._ 7.S.C 7.Y.V 7.N.c 7.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	13 8	i n t + i n c t	q o ⁵/⁰ + ʐ u ŋ ⁵⁵	13 8	310-9/q 111-3/a 306-4/⁰ + 287-3/Ø 471-2/u 263-27/ŋ 421-24/¹¹
1917	chuanqiandian-Chen-2013-888-79-1		chuanqiandian	Chen-2013-888-79	ʑeu¹³; vou⁵⁵	ʑeu¹³	ʑ eu ¹³		Chen2013			丈夫	1200	HUSBAND	Chuanqiandian	chua1256					chuanqiandian	丈夫	ʑeu¹³	3 7 8	AXT	SE2	3	3.S.C 3.E.V 3.2.T	1.6 3.0 1.0	0	7	i n t	ʑ eu ¹³	7	0/n 0/n 0/n
1918	chuanqiandiancentralguizhou-Chen-2013-888-79-1		chuanqiandiancentralguizhou	Chen-2013-888-79	qə⁰²pa¹³	qə⁰²pa¹³	q ə ²/⁰ + p a ¹³		Chen2013			丈夫	1200	HUSBAND	Chuanqiandian, Central Guizhou	nort2749					chuanqiandiancentralguizhou	丈夫	qə²/⁰+pa¹³	1 7 8 9 1 7 8	AXT_AXT	KE6_PA2	4	4.K.C 4.E.V 4.6.T 4._._ 4.P.C 4.A.V 4.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	13 12	i n t + i n t	q ə ²/⁰ + p a ¹³	13 12	310-9/q 111-3/a 306-4/⁰ + 0/n 0/n 0/n
10403	luobuoheeastern-Chen-2013-888-430-1		luobuoheeastern	Chen-2013-888-430	pzi³¹	pzi³¹	p z i ³¹		Chen2013			三	492	THREE	Luobuohe, Eastern	luop1235					luobuoheeastern	三	pzi³¹	1 3 7 8	ACXT	PSI3	7	7.P.C 7.S.C 7.I.V 7.3.T	1.6 1.2 3.0 1.0	0	18	i m n t	p z i ³¹	18	73-19/p 84-2/- 31-4/o 181-50/³⁵
10404	luobuohewestern-Chen-2013-888-430-1		luobuohewestern	Chen-2013-888-430	pji³¹	pji³¹	p j i ³¹		Chen2013			三	492	THREE	Luobuohe, Western	luop1235					luobuohewestern	三	pji³¹	1 6 7 8	ACXT	PJI3	8	8.P.C 8.J.C 8.I.V 8.3.T	1.6 1.2 3.0 1.0	0	18	i m n t	p j i ³¹	18	73-19/p 84-2/- 31-4/o 181-50/³⁵
10405	chuanqiandian-Chen-2013-888-430-1		chuanqiandian	Chen-2013-888-430	pe⁴³	pe⁴³	p e ⁴³		Chen2013			三	492	THREE	Chuanqiandian	chua1256					chuanqiandian	三	pe⁴³	1 7 8	AXT	PE3	3	3.P.C 3.E.V 3.3.T	1.6 3.0 1.0	0	18	i n t	p - e ⁴³	18	73-19/p 84-2/- 31-4/o 181-50/³⁵
10406	chuanqiandiancentralguizhou-Chen-2013-888-430-1		chuanqiandiancentralguizhou	Chen-2013-888-430	pɛ²⁴	pɛ²⁴	p ɛ ²⁴		Chen2013			三	492	THREE	Chuanqiandian, Central Guizhou	nort2749					chuanqiandiancentralguizhou	三	pɛ²⁴	1 7 8	AXT	PE2	4	4.P.C 4.E.V 4.2.T	1.6 3.0 1.0	0	18	i n t	p - ɛ ²⁴	18	73-19/p 84-2/- 31-4/o 181-50/³⁵
10407	chuanqiandiansouthernguizhou-Chen-2013-888-430-1		chuanqiandiansouthernguizhou	Chen-2013-888-430	pæ³²	pæ³²	p æ ³²		Chen2013			三	492	THREE	Chuanqiandian, Southern Guizhou	cent1394					chuanqiandiansouthernguizhou	三	pæ³²	1 7 8	AXT	PE3	6	6.P.C 6.E.V 6.3.T	1.6 3.0 1.0	0	18	i n t	p - æ ³²	18	73-19/p 84-2/- 31-4/o 181-50/³⁵
10408	chuanqiandiannortheastyunnan-Chen-2013-888-430-1		chuanqiandiannortheastyunnan	Chen-2013-888-430	tsɿ⁵⁵	tsɿ⁵⁵	ts ɿ ⁵⁵		Chen2013			三	492	THREE	Chuanqiandian, Northeast Yunnan	larg1235					chuanqiandiannortheastyunnan	三	tsɿ⁵⁵	2 7 8	AXT	CI5	5	5.C.C 5.I.V 5.5.T	1.6 3.0 1.0	1	19	i n t	ts ɿ ⁵⁵	19	0/n 0/n 0/n
