ID	STRUCTURE	FREQUENCY	bahengeast	bahengwest	chuanqiandian	chuanqiandiancentralguizhou	chuanqiandiannortheastyunnan	chuanqiandiansouthernguizhou	luobuoheeastern	luobuohewestern	qiandongeast	qiandongwest	COGNATESETS	CONCEPTS
33-43	t	43	¹¹	¹¹	²¹	³¹	¹¹	¹¹	⁵⁵	⁵⁵	²¹²	²¹	4824:3, 1152:2, 4168:2, 3411:3, 39:3, 3810:3, 815:3, 295:3, 1553:2, 2868:3, 6135:3, 4165:2, 192:3, 109:2, 2532:2, 5654:4, 1166:2, 3602:2, 1232:4, 3760:3, 4879:3, 1816:2, 2461:2, 134:2, 3811:2, 338:3, 2171:3, 591:2, 4209:3, 592:2, 1815:3, 1884:2, 1891:3, 4656:3, 3444:3, 5408:3, 2082:3, 6022:2, 1584:2, 1168:2, 5953:3, 2985:2, 3445:3	三月 / 下（雨） / 两 / 买 / 仓库 / 位（客） / 公鸡 / 刺 / 去 / 只（鸡） / 回来 / 囱 / 埋 / 尿 / 山 / 懒 / 手 / 手指 / 指甲 / 捉 / 故事 / 来 / 柴 / 棺材 / 池塘 / 泥鳅 / 浅 / 火 / 瓦房 / 生 / 矮、低 / 穿（鞋） / 等 / 编（辫子） / 老 / 老太太 / 老头儿 / 老鼠 / 茶 / 薄 / 蚂蟥 / 起来 / 辫子 / 锅 / 马 / 马鞍 / 鱼 / 鸟窝 / 黄鳝
678-6	t	6	¹¹	¹¹	²¹	³¹	³³	¹¹	⁵⁵	⁵⁵	²¹²	²¹	3407:3, 5678:2, 5691:2, 2675:2, 2053:2, 5163:2	只（鸡） / 指甲 / 柴 / 棵（树） / 火 / 瓦 / 话 / 锍 / 锣 / 鼓
573-4	t	4	¹¹	¹¹	⁴⁴	⁴²	³³	³⁵	²⁴	³⁵	⁴⁴	³³	2343:3, 5849:2, 4472:3, 62:2	下午 / 晚上 / 脸 / 草鞋 / 鞋
450-3	t	3	¹¹	⁴⁴	¹³	³¹	Ø	¹³	²⁴	³⁵	⁵³	²¹	771:3, 2051:2, 3011:2	卖 / 指甲 / 淡 / 爪子
61-2	t	2	¹¹	Ø	³¹	⁰	³⁵	⁵³	³¹	³¹	Ø	⁵⁵	4130:3, 3234:3	牛圈 / 羊
65-2	t	2	¹¹	¹¹	⁵⁵	⁵⁵	⁵⁵	⁴²	⁵⁵	⁵⁵	Ø	⁵⁵	1831:4, 2190:2	我 / 我们 / 敢 / 自己
650-2	t	2	¹¹	³⁵	⁴⁴	⁴²	³³	³⁵	²⁴	³⁵	³³	³³	765:3, 5641:3	半夜 / 锄头
697-1	t	1	¹¹	¹¹	Ø	Ø	Ø	⁵⁵	Ø	Ø	Ø	Ø	4122:3	网
802-1	t	1	¹¹	Ø	¹³	Ø	Ø	¹¹	Ø	Ø	Ø	Ø	4492:2	樹枝 / 腿
655-96	t	96	³⁵	³⁵	⁴³	²⁴	⁵⁵	³²	³¹	³¹	²⁴	⁴⁴	738:2, 4949:4, 6033:2, 231:3, 746:3, 28:3, 1203:4, 4905:4, 5155:2, 2267:3, 757:3, 1318:3, 3552:3, 2415:2, 3885:4, 4959:3, 136:3, 4796:2, 1678:3, 5870:3, 3483:3, 5120:3, 4818:3, 4489:2, 1092:3, 1338:3, 2287:2, 31:3, 5569:3, 245:4, 2297:2, 3134:3, 3886:4, 393:3, 2892:2, 4932:2, 5122:2, 5261:3, 6212:3, 3702:2, 6211:2, 3974:4, 530:2, 3034:3, 5002:3, 3383:3, 5609:2, 4919:3, 1934:3, 5132:4, 5384:2, 5911:2, 323:2, 1189:2, 1853:4, 3628:3, 3460:2, 4914:3, 3463:4, 927:3, 2441:2, 3608:3, 3070:2, 6108:3, 4679:3, 4072:2, 4645:3, 4805:3, 3703:4, 4628:3, 1433:2, 3830:3, 38:2, 365:3, 3610:2, 3347:3, 37:2, 4427:2, 547:2, 4958:2, 905:2, 4269:2, 209:2, 6133:4, 1275:3, 3107:2, 2029:2, 4216:2, 392:2, 4627:2, 977:2, 4294:4, 819:3, 5438:2, 3683:2, 2011:2	三 / 三十 / 三月 / 个（蛋） / 二 / 二十 / 二月 / 五 / 五月 / 井 / 亮 / 会（写） / 住 / 倒（水） / 儿媳 / 儿子 / 分 / 初一 / 初三 / 初二 / 刨子 / 十三 / 十二 / 十二月 / 十五 / 十四 / 去年 / 发烧 / 口水 / 后天 / 吠 / 和 / 喂（猪） / 地 / 坐 / 多 / 太阳 / 头发 / 女儿 / 孤儿 / 小孩 / 尿 / 开水 / 扁 / 扫帚 / 拖 / 拴（牛） / 斤 / 旧 / 旱地 / 明天 / 星星 / 木耳 / 李子 / 母鸡 / 毛 / 水桶 / 水瓢 / 水缸 / 汗 / 汤 / 沙子 / 游 / 火药 / 炒 / 热 / 牛犊 / 牵 / 犁 / 猴子 / 瓜子 / 甜 / 疼 / 病 / 白 / 白糖 / 白菜 / 眉毛 / 眼泪 / 知道 / 石头 / 石磨 / 砖 / 种子 / 秧 / 筛子 / 簸箕 / 红 / 红糖 / 给 / 绿 / 编（篮子） / 耕 / 肚子 / 肝 / 脑髓 / 腿 / 臭虫 / 苍蝇 / 苦 / 茅草 / 草房 / 药 / 菜 / 蓑衣 / 蓝 / 蕨菜 / 蘑菇 / 虫 / 虱子 / 虹 / 虾 / 蚂蚁 / 蚂蟥 / 蚊子 / 蚯蚓 / 蛆 / 蛇 / 蛋白 / 蛔虫 / 蜘蛛 / 蜜蜂 / 蝴蝶 / 螃蟹 / 裙子 / 裹腿布 / 认识 / 赠送 / 轻 / 远 / 针 / 钩子 / 露水 / 风 / 香 / 鸡冠 / 黄 / 黄牛 / 黄鳝 / 黄鼠狼 / （牛）角
814-23	t	23	³⁵	³⁵	⁴³	²⁴	⁵⁵	²²	³¹	³¹	²⁴	⁴⁴	1302:3, 5756:3, 959:3, 2163:2, 5518:2, 1936:2, 5131:3, 5383:2, 6215:2, 3397:3, 2252:4, 2229:3, 5973:3, 1643:2, 4345:2, 4817:2, 2120:2, 528:3, 4426:2, 4295:2, 5769:2, 2680:2, 2612:2	初一 / 初三 / 初二 / 吹（喇叭） / 大 / 天 / 太阳 / 干净 / 扫 / 扫帚 / 搓 / 收（玉米） / 新 / 族称 / 桥 / 棺材 / 每天 / 清 / 瓜藤 / 肝 / 胃 / 脑髓 / 蕨菜 / 藤子 / 裹腿布 / 轻 / 酸 / 长（大） / 闪 / 雷 / 高 / （猪）拱（土）
337-9	t	9	³⁵	⁰	⁴³	²⁴	⁵⁵	³²	³³	³¹	²⁴	⁴⁴	4047:2, 4618:2, 5952:3, 2316:2, 1778:3, 1208:2, 3769:3, 6035:2, 3137:2	块 / 布 / 怀孕 / 星星 / 煤 / 窗子 / 织（布） / 臭虫 / 苍蝇 / 茅草 / 虱子 / 蚂蚁 / 蚯蚓 / 蛔虫 / 马鞍 / 鸡冠
855-8	t	8	³⁵	⁵⁵	⁴³	²⁴	⁵⁵	³²	³¹	³¹	²⁴	⁴⁴	148:4, 1830:2, 4693:4, 4721:2, 774:3, 1630:3, 3082:2, 2834:3	中间 / 南瓜 / 帮助 / 我们 / 水缸 / 灯 / 灯笼 / 草鞋 / 菜园
601-6	t	6	³⁵	³⁵	⁴³	⁴²	¹¹	³²	³¹	³¹	²⁴	⁴⁴	1147:2, 788:2, 6034:3, 4355:2, 1787:2, 4222:2	公鸡 / 压 / 四月 / 怕 / 耙 / 胆 / 鸡 / 鸡冠
658-6	t	6	³⁵	³⁵	³¹	¹³	³³	⁵³	³³	³¹	²²	⁵⁵	5594:2, 2206:2, 2604:2, 4221:2, 4604:2, 2137:2	摇 / 斑鸠 / 桌子 / 耙 / 芽 / 钥匙
967-6	t	6	³⁵	³⁵	⁴³	²⁴	⁵⁵	³⁵	³³	⁵⁵	²⁴	³³	3740:3, 2793:2, 4795:2, 282:2, 5954:3, 3319:2	从前 / 水桶 / 水缸 / 猫 / 空 / 蒸 / 马鞍
341-5	t	5	³⁵	³³	⁴³	²⁴	⁵⁵	³²	³¹	³¹	²²	⁵⁵	2882:3, 3488:3, 736:4, 4671:3, 3005:3	十二月 / 嫂子 / 掉 / 沉 / 浮 / 白糖 / 草 / 落 / 蛇
526-5	t	5	³⁵	³⁵	⁵⁵	¹³	³³	⁴²	⁵⁵	⁵⁵	³³	¹³	270:4, 5486:2, 3513:2, 714:2, 4617:2	今天 / 十一月 / 皮 / 皮肤 / 苍蝇 / 那
633-5	t	5	³⁵	³¹	⁴⁴	⁴²	³³	¹³	³¹	³¹	²⁴	⁴⁴	3826:3, 852:2, 713:3, 4931:3, 5160:2	十一月 / 句 / 筛 / 筛子 / 蛋白 / 记得
832-5	t	5	³⁵	³⁵	⁵⁵	²⁴	¹¹	⁵⁵	⁵⁵	⁵⁵	³³	³³	2890:3, 2131:3, 3729:2, 1350:2, 5837:3	奶汁 / 搻 / 沙子 / 稠（浊） / 面粉
130-4	t	4	³⁵	³⁵	⁴³	²⁴	⁵⁵	³²	⁰	³¹	²⁴	⁴⁴	801:2, 5561:2, 6029:2, 5606:2	厚 / 月 / 深 / 野猪 / 钩子 / 鸡
493-4	t	4	³⁵	³⁵	³¹	⁵⁵	³⁵	¹³	²⁴	³¹	³⁵	⁵⁵	6143:3, 3708:3, 5028:2, 3709:3	称 / 螺蛳 / 黄鼠狼
554-4	t	4	³⁵	¹¹	²⁴	¹³	³¹	⁵³	³³	³⁵	²²	²²	2185:2, 3728:3, 4982:3, 3149:2	救 / 照 / 稠（浊） / 蜻蜓
1023-4	t	4	³⁵	³⁵	⁴³	²⁴	⁵⁵	³²	³¹	³¹	¹³	¹¹	3821:2, 1148:3, 993:2, 1756:2	十四 / 咸 / 四月 / 忙 / 急 / 答应
50-3	t	3	³⁵	³⁵	³¹	²²	¹¹	³²	⁵⁵	³⁵	Ø	²¹	4709:4, 6064:4, 3672:3	祖父 / 菜刀 / 麻子
86-3	t	3	³⁵	³⁵	⁵⁵	¹³	¹³	⁴²	²⁴	³⁵	³³	⁵³	4895:3, 3501:3, 1207:3	块 / 白菜 / 蚊帐
249-3	t	3	³⁵	³⁵	⁴³	²⁴	³³	⁴⁴	³³	⁵⁵	²⁴	¹³	3767:3, 2875:3, 515:3	分 / 汤 / 窗子
334-3	t	3	³⁵	³³	³¹	²⁴	³⁵	⁵³	³¹	³¹	²²	⁵⁵	1666:3, 5965:2, 3546:3	年纪 / 直 / 骑
343-3	t	3	³⁵	⁰	⁴³	⁰	⁵⁵	²²	³¹	⁰	³³	³³	4745:2, 4028:3, 1935:2	坛子 / 壳儿 / 扫帚 / 皮 / 皮肤 / 纺车 / 萝卜
460-3	t	3	³⁵	⁵⁵	⁴³	⁴²	¹¹	⁵⁵	⁵⁵	⁵⁵	²⁴	Ø	216:3, 4414:3, 5492:2	云 / 脏 / 都
494-3	t	3	³⁵	³⁵	⁴³	²²	⁵³	²¹	⁵⁵	⁵⁵	³³	²²	6166:3, 5054:3, 1284:2	大家 / 衣袋 / 麻袋 / 鼻子
651-3	t	3	³⁵	⁰	⁴³	¹³	⁵⁵	⁴²	⁰	⁰	²⁴	¹³	52:2, 4190:2, 5437:2	上边 / 刨子 / 姐姐 / 心脏 / 手镯 / 旁边 / 旗子 / 柜子 / 牌 / 狗 / 老虎 / 远 / 野鸡
757-3	t	3	³⁵	⁴²	¹³	Ø	³¹	¹³	³¹	³⁵	¹³	³³	739:2, 1035:2, 489:2	凶 / 十一月 / 十二月 / 哪个
790-3	t	3	³⁵	³³	³¹	⁵⁵	Ø	¹¹	³¹	³¹	²²	⁵⁵	5258:2, 1245:3, 2588:3	墙 / 根（棍） / 棵（树） / 赔
825-3	t	3	³⁵	⁰	¹³	³¹	³³	³³	²⁴	³¹	²²	²¹	766:4, 3197:2, 555:2	别人 / 半夜 / 指甲 / 爪子
871-3	t	3	³⁵	³¹	³¹	¹³	³¹	³²	³¹	³¹	¹³	¹¹	3803:2, 116:3, 1177:4	不 / 圆 / 笔
911-3	t	3	³⁵	³¹	⁴³	²⁴	⁵⁵	³²	²⁴	³⁵	²⁴	⁴⁴	527:3, 692:3, 6221:2	初一 / 包谷 / 瞎子 / （花）开
11-2	t	2	³⁵	⁰	⁴⁴	⁴²	³³	⁵⁵	³¹	⁰	²⁴	³³	427:2, 2808:2	八月 / 水瓢 / 野猪
62-2	t	2	³⁵	³⁵	¹³	²⁴	³¹	²³²	³¹	⁵⁵	²¹²	²¹	908:3, 1518:2	后天 / 小孩 / 昨天
89-2	t	2	³⁵	³⁵	⁵⁵	¹³	⁵⁵	³²	³³	³¹	Ø	Ø	4794:3, 364:2	倒（水） / 蒸
99-2	t	2	³⁵	⁵⁵	³¹	³¹	³¹	⁵³	³¹	³¹	²²	⁵⁵	1283:3, 349:3	你们 / 大家
118-2	t	2	³⁵	³³	²¹	³¹	³³	³²	²⁴	³¹	Ø	³³	5331:2, 2587:2	根（棍） / 蹄
213-2	t	2	³⁵	³⁵	⁴³	⁰	Ø	³²	³¹	⁰	¹³	⁴⁴	2726:3, 2308:2	明年 / 橘子 / 虾
218-2	t	2	³⁵	³⁵	⁴³	²⁴	¹¹	³²	³¹	³¹	³³	⁴⁴	2430:3, 4700:2	杉树 / 火药 / 药
226-2	t	2	³⁵	³⁵	⁵⁵	¹³	⁵⁵	⁴²	⁰	⁰	³³	⁴⁴	2238:2, 4481:2	头发 / 手指 / 方 / 毛 / 眉毛 / 腰
324-2	t	2	³⁵	³³	⁵⁵	³¹	⁵⁵	⁴²	³¹	³¹	²⁴	⁴⁴	42:4, 1287:2	上午 / 中午 / 人 / 大家
326-2	t	2	³⁵	³⁵	⁵⁵	²²	⁵⁵	⁴⁴	²⁴	³¹	²²	⁴⁴	2469:3, 4762:2	松树 / 葫芦
376-2	t	2	³⁵	³⁵	³¹	²⁴	Ø	⁴⁴	²⁴	³¹	²⁴	⁴⁴	138:3, 6115:3	中午 / 黄瓜
571-2	t	2	³⁵	¹¹	⁴³	²⁴	⁵⁵	³²	⁵⁵	⁵⁵	²⁴	⁴⁴	767:2, 4442:3	一 / 半夜 / 脖子
578-2	t	2	³⁵	³¹	Ø	³¹	Ø	²²	⁵⁵	⁵⁵	⁴⁴	²¹	2715:3, 3046:4	樹枝 / 滚
589-2	t	2	³⁵	Ø	³³	³¹	⁵⁵	⁴⁴	³³	³¹	³⁵	¹¹	4826:2, 49:2	上边 / 藏
701-2	t	2	³⁵	³⁵	¹³	²⁴	⁵⁵	³²	³¹	⁰	²⁴	⁴⁴	2789:3, 4211:3	冬瓜 / 水 / 老鼠 / 鸟
821-2	t	2	³⁵	³⁵	⁴⁴	²⁴	¹¹	²²	²⁴	³⁵	⁴⁴	³³	1079:4, 2801:3	啄木鸟 / 树梢 / 樹枝 / 水牛
882-2	t	2	³⁵	³³	³¹	²²	³³	⁵³	³¹	³¹	Ø	⁵⁵	281:2, 5103:2	从前 / 被子
977-2	t	2	³⁵	³⁵	⁴³	¹³	Ø	⁵³	²⁴	Ø	⁴⁴	³³	4913:3, 2497:3	架子 / 蛆
1021-2	t	2	³⁵	³⁵	³³	⁴²	Ø	⁴⁴	³³	³⁵	³⁵	¹¹	4033:2, 2970:2	活 / 织布机
958-59	t	59	³¹³	³¹	⁵⁵	¹³	⁵⁵	⁴²	⁵⁵	⁵⁵	³³	¹³	2955:2, 2991:2, 5431:4, 4848:3, 5523:2, 361:2, 834:2, 2440:3, 1440:3, 275:3, 2273:2, 332:2, 1423:2, 1977:2, 5076:2, 372:2, 5314:2, 1748:3, 1342:2, 3130:2, 3278:2, 185:2, 1373:2, 5316:2, 1652:2, 6125:2, 1196:2, 4897:3, 3092:2, 5506:2, 2035:2, 3536:3, 4482:3, 3055:2, 3054:3, 1620:2, 1736:3, 2492:2, 4188:2, 3846:2, 5128:2, 1395:2, 2195:2, 2191:3, 2483:2, 3527:2, 5149:2, 1153:4, 633:3, 2781:2, 5545:2, 5873:3, 1325:2, 4003:2, 2961:3, 3515:2, 1365:2, 155:2, 2963:3	丑 / 乌鸦 / 书 / 今年 / 伞 / 倒（下） / 假 / 剪 / 发烧 / 喇叭 / 回来 / 坏 / 头巾 / 女婿 / 妹妹 / 妻子 / 姜 / 孙子 / 守（庄稼） / 席子 / 干枯 / 弟弟 / 心脏 / 忘记 / 房子 / 折断 / 拿 / 敢 / 数（钱） / 早 / 李子 / 枕头 / 果子 / 柱子 / 柿子 / 桃 / 梨 / 每天 / 洗（碗） / 洞 / 浇 / 满 / 灰 / 烧（山） / 煮 / 狗 / 瓦房 / 甜酒 / 皮 / 盐 / 盖（被） / 砍（树） / 箭 / 纱 / 纸 / 老虎 / 腰 / 草房 / 虱子 / 蚊帐 / 补 / 裤子 / 解开 / 路 / 身体 / 这 / 酒 / 酒杯 / 醉 / 里边 / 风箱 / 黄豆 / （扁担）断
657-15	t	15	³¹³	³¹	⁵⁵	¹³	⁵⁵	²³²	⁵⁵	⁵⁵	³³	¹³	940:3, 854:2, 3780:2, 3224:3, 3165:3, 3812:2, 5038:3, 5281:2, 1686:3, 5555:3, 3129:3, 4004:2, 5874:3, 5971:3, 3757:2	句 / 听见 / 弓 / 烧（山） / 热 / 熟 / 牙齿 / 磨（刀） / 穿（衣） / 站 / 筋 / 纱 / 血 / 起来 / 重 / 风箱 / 骨头
153-6	t	6	³¹³	³¹	⁴⁴	⁰	⁵⁵	⁴²	⁰	⁰	³³	¹³	4154:2, 3920:2, 869:3, 1602:3, 4701:2, 1551:2	右边 / 姜 / 尾巴 / 左边 / 斧子 / 木板 / 树根 / 棉衣 / 汉族 / 灶 / 眼睛 / 粥 / 纱 / 翅膀 / 脑髓 / 腿 / 药 / 衣 / 裹腿布 / 野鸡 / 镰刀 / 鳞
688-6	t	6	³¹³	³³	⁴³	¹³	⁵⁵	²²	³¹	³¹	²⁴	⁴⁴	2078:2, 5909:3, 3106:2, 5433:3, 4536:2, 467:2	冬瓜 / 捆绑 / 炒 / 舅母 / 葫芦 / 进（屋） / 香
189-5	t	5	³¹³	⁰	³³	⁴²	⁵⁵	⁴²	⁰	⁰	⁵³	⁴⁴	18:2, 3782:2, 4364:2, 1176:3, 150:2	丈夫 / 下巴 / 中间 / 仓库 / 儿子 / 凳子 / 台阶 / 哑巴 / 哥哥 / 囱 / 圆 / 坟墓 / 墙 / 天 / 妻子 / 嫂子 / 屁股 / 帽子 / 房子 / 扣子 / 族称 / 月亮 / 村寨 / 树梢 / 梳子 / 棉花 / 母亲 / 沙子 / 灯 / 父亲 / 猫 / 瓦房 / 甑子 / 石头 / 石磨 / 碗 / 祖父 / 窗子 / 竹子 / 筛子 / 箩筐 / 红薯 / 罐子 / 耳朵 / 肚子 / 肚脐 / 胃 / 背 / 脖子 / 脸 / 舅母 / 舌 / 草房 / 菜刀 / 菜园 / 衣领 / 裤子 / 锅 / 锤子 / 面粉 / 高粱 / 鸽子 / 麻袋 / 鼻子 / 鼻涕
156-4	t	4	³¹³	³¹	⁵⁵	²⁴	³³	⁴²	⁵⁵	⁵⁵	³³	³³	3956:3, 4887:4, 262:3, 2560:2	什么 / 树干 / 紧 / 蚊子
170-4	t	4	³¹³	³¹	⁵⁵	⁴²	⁵⁵	¹³	²⁴	³⁵	⁴⁴	⁴⁴	5147:3, 2095:2, 5480:2, 5862:3	换 / 要 / 选 / 韭菜
570-4	t	4	³¹³	³¹	⁴⁴	¹³	⁵⁵	⁴²	⁵⁵	⁵⁵	³³	¹³	3600:3, 4533:3, 441:2, 3523:2	公鸡 / 皮肤 / 短 / 舂
849-4	t	4	³¹³	¹¹	⁵⁵	³¹	⁵⁵	⁴²	³³	⁵⁵	³³	¹¹	4964:3, 5937:2, 6055:2, 1545:2	尺子 / 蜜蜂 / 马蜂 / 马蜂窝 / 鹅
956-4	t	4	³¹³	³¹	⁴⁴	¹³	³³	³²³	⁵⁵	⁵⁵	³³	¹³	4429:2, 5969:3, 5633:2, 4306:3	头 / 肠子 / 脑髓 / 锁 / 骨头
16-3	t	3	³¹³	³¹	⁴⁴	⁴²	³³	⁵⁵	⁰	Ø	⁴⁴	³³	2484:3, 1444:2, 802:3	厨房 / 客人 / 枕头
102-3	t	3	³¹³	³¹	³¹	³¹	¹¹	Ø	²⁴	³⁵	³⁵	¹³	1422:3, 1096:3, 63:3	下午 / 喇叭 / 孙子
177-3	t	3	³¹³	³¹	³³	²⁴	³³	²²	³³	³¹	²⁴	¹¹	3030:2, 4670:2, 4283:2	渴 / 肚脐 / 草
230-3	t	3	³¹³	³¹	⁵⁵	⁵⁵	³³	⁴²	⁵⁵	⁵⁵	³³	⁵⁵	2783:2, 1923:2, 2167:2	扣子 / 改 / 比 / 锥子
606-3	t	3	³¹³	³³	⁵⁵	¹³	⁵⁵	⁴²	⁵⁵	⁵⁵	³³	¹¹	4288:3, 419:2, 4966:2	兔子 / 肛门 / 蜜蜂
689-3	t	3	³¹³	⁵⁵	⁴³	⁰	⁵⁵	⁴⁴	³¹	³¹	⁴⁴	³³	1195:2, 846:2, 2536:2	口水 / 哑巴 / 坏 / 影子 / 旁边 / 旧 / 柴刀 / 树根 / 裤子 / 门
708-3	t	3	³¹³	Ø	⁵⁵	¹³	³³	³²	³¹	⁵⁵	³³	²¹	2687:3, 818:4, 1792:2	去年 / 急 / 椅子
718-3	t	3	³¹³	³¹	⁴³	¹³	⁵⁵	⁴²	⁵⁵	⁵⁵	²⁴	¹³	3432:3, 4764:3, 3467:2	冬瓜 / 南瓜 / 屁股 / 果子 / 橘子 / 瓜 / 瓜子 / 甜 / 痒 / 茄子 / 萝卜 / 葫芦 / 西瓜 / 辣椒 / 黄瓜
803-3	t	3	³¹³	³¹	⁵⁵	²⁴	³³	⁴²	⁵⁵	³¹	Ø	²¹	4497:2, 581:2, 1470:4	刷子 / 宽 / 自己
924-3	t	3	³¹³	⁴⁴	⁵⁴	²⁴	³³	³²	³¹	³¹	⁴⁴	⁵⁵	5305:3, 1139:3, 820:3	今年 / 去年 / 四 / 跛子
12-2	t	2	³¹³	⁰	⁴⁴	Ø	³³	³⁵	²⁴	⁵⁵	Ø	⁵⁵	2018:3, 3116:2	拳 / 烟
497-2	t	2	³¹³	⁵⁵	³³	²⁴	¹¹	⁵⁵	³³	³¹	²¹²	Ø	1235:2, 4318:2	堵塞 / 肩膀
523-2	t	2	³¹³	³⁵	²⁴	⁰	Ø	Ø	⁰	Ø	Ø	²²	5407:2, 3865:2	篮子 / 辫子
580-2	t	2	³¹³	³¹	⁵⁵	⁴²	¹¹	³⁵	⁵⁵	³⁵	³³	³³	4912:2, 1799:4	想 / 蛆
741-2	t	2	³¹³	³¹	⁵⁵	¹³	⁵⁵	⁴²	⁰	⁵⁵	³³	¹³	5754:2, 368:2	借（钱） / 屎 / 长
851-2	t	2	³¹³	⁴²	⁴³	²⁴	⁵⁵	³²	²⁴	³⁵	³³	⁴⁴	707:3, 2760:3	十一 / 母亲
858-2	t	2	³¹³	⁵⁵	³³	⁵⁵	⁵⁵	¹³	³¹	³⁵	Ø	⁴⁴	2405:3, 41:2	上午 / 木板
919-2	t	2	³¹³	³¹	⁵⁵	¹³	⁵⁵	⁴²	²⁴	³⁵	²¹²	²¹	4289:2, 3756:3	厕所 / 洞 / 穿（衣） / 肛门
943-2	t	2	³¹³	³¹	²¹	⁵⁵	³³	⁴²	Ø	Ø	³³	¹¹	1341:3, 2688:2	女婿 / 椅子
1028-2	t	2	³¹³	³¹	²¹	¹³	Ø	⁴²	⁵⁵	⁵⁵	²²	²²	3398:3, 302:3	他们 / 瓜藤 / 葡萄
991-34	t	34	³¹	⁴⁴	¹³	²²	³¹	¹³	²⁴	³⁵	⁵³	²²	380:3, 1991:2, 5775:3, 1438:2, 3572:3, 2756:2, 3745:3, 6220:2, 3636:2, 674:2, 3833:3, 359:3, 657:2, 5836:4, 3110:2, 2999:3, 3178:3, 4438:2, 4723:2, 4389:3, 6223:3, 5288:2, 4388:3, 5432:2, 5450:2, 4623:2, 3454:2, 4622:2, 3790:3, 3204:3, 510:2, 5249:3, 4926:3, 4744:3	倒（下） / 偷 / 凿子 / 力气 / 勤快 / 孵 / 抱 / 梳子 / 死 / 浓 / 炸 / 燃 / 爬行 / 留 / 眼泪 / 破裂 / 穿山甲 / 笋 / 筷子 / 胖 / 脓 / 苎麻 / 菜园 / 萝卜 / 蛋 / 贼 / 跌倒 / 进（屋） / 迟 / 醉 / 问 / 面粉 / （花）开 / （衣）破
4-23	t	23	³¹	⁴²	²⁴	⁵⁵	³¹	²¹	³³	³¹	¹³	⁵³	30:2, 206:2, 423:3, 761:2, 3563:2, 3946:3, 5852:3, 1069:2, 708:2, 3764:2, 5392:3, 5903:2, 831:2, 3765:2, 3947:2, 5349:3, 926:2, 3033:2, 5325:2, 5767:3, 1872:3, 196:2, 3659:2	三十 / 争 / 二十 / 八 / 十一 / 十七 / 十三 / 十九 / 十二 / 十五 / 十八 / 十六 / 十月 / 双 / 吠 / 咬 / 啃 / 扇子 / 抢 / 游 / 看见 / 磨（面） / 窄 / 糯米 / 踩 / 躲避 / 辣 / 闪 / 鞭子 / 首
187-8	t	8	³¹	⁴⁴	¹³	²²	⁵³	¹³	²⁴	³⁵	⁵³	²²	3577:3, 1080:3, 4437:2, 6176:3, 2634:2, 1899:2, 509:2, 5820:2	凿子 / 啄木鸟 / 手镯 / 梳子 / 眼睛 / 脓 / 露水 / 鸟 / 鼻涕
142-6	t	6	³¹	⁵⁵	²⁴	⁴²	⁵⁵	²³²	²⁴	³⁵	⁵³	²²	546:3, 2535:2, 6076:2, 1327:2, 1636:2, 5531:3	刨子 / 头巾 / 帽子 / 柴刀 / 苎麻 / 醒 / 麻袋
971-5	t	5	³¹	⁵³	⁴⁴	⁴²	³³	³⁵	⁵⁵	⁵⁵	⁴⁴	¹³	4933:2, 1121:3, 1319:2, 2136:2, 2278:2	七月 / 八月 / 六月 / 十月 / 喷 / 头发 / 摇 / 早晨 / 月亮 / 蛋白
178-4	t	4	³¹	⁴²	²⁴	⁵⁵	³¹	²¹	³¹	³¹	¹³	⁵³	709:2, 582:2, 568:2, 5595:2	刮 / 刷子 / 十 / 十一 / 十七 / 十三 / 十九 / 十二 / 十五 / 十八 / 十六 / 十四 / 钥匙
222-4	t	4	³¹	⁴⁴	⁵⁵	²²	³³	¹³	⁵⁵	⁵⁵	⁵³	²²	8:3, 1036:2, 3959:3, 3235:2	七月 / 什么 / 哪个 / 牛圈 / 累
143-3	t	3	³¹	³³	²¹	³¹	⁵³	⁴²	⁵⁵	⁵⁵	²¹²	²¹	2545:3, 133:4, 5127:2	两 / 柿子 / 裤子
160-3	t	3	³¹	⁴²	²¹	³¹	⁵⁵	¹¹	⁰	⁰	³⁵	⁵³	4742:3, 257:2, 1233:2	人 / 埋 / 萝卜
368-3	t	3	³¹	⁰	²⁴	³¹	Ø	⁵³	⁵⁵	³¹	Ø	³³	2370:2, 207:2, 3074:3	中间 / 二十 / 朋友 / 火钳
374-3	t	3	³¹	⁴²	²⁴	⁵⁵	⁵³	²¹	³³	⁵⁵	¹³	⁵³	5198:2, 5397:3, 3617:3	石磨 / 豆 / 辣椒 / 黄豆
432-3	t	3	³¹	⁴⁴	¹³	²²	⁵⁵	¹³	²⁴	³⁵	²¹²	²²	3588:3, 1898:2, 108:3	下（雨） / 手镯 / 瞎子
746-3	t	3	³¹	⁴²	²⁴	⁵⁵	⁵³	²¹	Ø	³⁵	⁵³	³³	4593:2, 3783:2, 5476:2	竹子 / 花生 / 豆腐 / 逃跑
810-3	t	3	³¹	¹³	⁴⁴	⁴²	¹¹	³⁵	⁵⁵	⁵⁵	²⁴	⁴⁴	36:2, 3938:2, 2866:3	三月 / 九月 / 二月 / 五月 / 后天 / 四月 / 池塘 / 糠
