Grapheme	IPA	Template	Note
at			Xishan Xiashuicun Longhua Longding Yanyuan Shuanglong
au			Pingbian Shimenpo Du’an Xiaozhang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong Youling
aɯ			Shimenpo Xiaozhang
ɑ			Gaozhai Du’an
ɑŋ			Gaozhai Du’an
ɑu			Gaozhai
ɒ			Younuo Longhua
ɒi			Longhua
ɒn			Longhua
ɒŋ			Longhua
ɒt			Longhua
b			Shimenpo Xiaozhang Bana Longding Yanyuan Shuanglong Youling
bɦ			Shimenpo
bj			Xiaozhang Bana Longding Yanyuan Shuanglong Youling
bl			Yanyuan Shuanglong
ç			Longhua
ɕ			Shibanqiao Gaozhai Pingbian Gaopo Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Longding Shuanglong
ɕʰ			Kailitang Heba
d			Shimenpo Xiaozhang Bana Longding Yanyuan Shuanglong Youling
ð			Gaozhai Qibainong Xishan Longhua
dɦ			Shimenpo
dj			Xiaozhang Bana Longding Yanyuan Shuanglong Youling
ðj			Longhua
dl			Shimenpo Bana
dlɦ			Shimenpo
dlj			Bana
dz			Shimenpo Xiaozhang Bana Longding Shuanglong
dzɦ			Shimenpo
dzj			Longding
dʐ			Shimenpo
dʐɦ			Shimenpo
dʑ			Shimenpo Xiaozhang Bana Longding Shuanglong
dʑɦ			Shimenpo
dʒ			Yanyuan
ɖ			Shimenpo
ɖɦ			Shimenpo
e			Shibanqiao Gaozhai Pingbian Gaopo Zongdi Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Youling
ẽ			Gaopo Heba
eːi			Yanyuan
eːk			Yanyuan
eːm			Yanyuan
eːn			Yanyuan
eːŋ			Yanyuan
eːp			Yanyuan
eːt			Yanyuan
eːu			Yanyuan
ei			Shibanqiao Gaozhai Pingbian Zongdi Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Youling
ek			Xishan Xiashuicun Longhua Yanyuan
em			Longding Yanyuan Youling
en			Shibanqiao Gaozhai Pingbian Zongdi Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Youling
