ID	ENGLISH	REFLEXES	TBL	CONCEPTICON
88	compensate (v.)	10		
89	the cooked rice	20	0440	1191
90	the corpse	24	0162	767
91	correct (right)	20	1045	1725
92	to cough	20	1477	879
93	to count	24	1640	1420
94	cover (the mouth) (v.)	10		
95	the cow	28	0261	1007
96	crawl (of people) (v.)	9		
97	to cross (a river)	18	1289	1367
98	the crow	26	0339	913
99	crow (of cocks) (v.)	10		
100	to cry (weep)	18	1485	1420
101	cut (meat) (v.)	11		
102	damaged, be (house) / cave in (v.)	11		
103	the dance	22	0657	1879
104	dark	16	1013	706
105	the daughter	26	0222	1357
106	the day	18	0748	1225
107	deaf, be (v.)	11		
108	deep	18	0982	1593
109	the deer	20	0313	1936
110	the dew	20	0015	1977
111	to die	14	1651	1494
112	difficult	22	1067	584
113	to dig	20	1698	1418
114	dirty	24	1086	1230
115	divide / share (things) (v.)	10		
116	do / make (v.)	11		
117	the dog	18	0289	2009
118	the door	26	0514	1567
119	the dream	20	0699	2374
120	to drink	12	1370	1401
121	the drum	24	0659	908
122	drunk	20	1818	1463
123	dry	20	1028	1398
124	the duck	20	0300	1360
125	dull	20	1021	379
126	the dust	20	0045	2
127	to dye (stuff)	16	0543	157
128	the ear	26	0081	1247
129	early	16	1018	672
130	the earth (soil)	20	0040	1228
131	the earthworm	16	0363	2350
132	the east	28	0704	1877
133	easy	22	1068	686
134	to eat	12	1198	1336
135	the egg	10	0450	744
136	eight	18	0804	1705
137	the elbow	28	0106	981
138	enter (a house) (v.)	9		
139	exchange (v.)	10		
140	the excrement	18	0151	675
141	expand / swell (v.)	10		
142	the eye	10	0079	1248
143	the eyebrow	22	0078	1173
144	the face	20	0082	1560
145	fall (rain) (v.)	8		
146	far	18	0974	1406
147	fast	22	1016	1631
148	fat (of person)	24	1024	1279
149	the father	20	0218	1217
150	the feather	16	0299	1201
151	to ferment	12	1304	967
152	fetch / draw (water) (v.)	9		
153	few	20	0988	1242
154	to fight	28	1234	1423
155	fight / vie for (v.)	11		
156	the finger	20	0109	1303
157	the fire	20	0018	221
158	firewood	18	0534	10
159	the fish	22	0351	227
160	five	18	0801	493
161	flat (shallow)	18	0991	1633
162	the flea	20	0355	232
163	the flesh	16	0128	2259
164	to float	18	1553	1574
165	to flow	20	1502	2003
166	the flower	22	0377	239
167	the fly	22	0358	1504
168	to fly (move through air)	16	1318	1441
169	the fog	22	0016	249
170	the foot	22	0103	1301
171	the forehead	28	0077	123
172	the forest	12	0050	420
173	forget (v.)	11		
174	four	22	0800	1500
175	the fox	6	0325	1312
176	fragrant	20	1069	376
177	the friend	28	0201	1325
178	the frog	22	0349	503
179	the front (front side)	22	0712	2194
180	the frost	18	0014	2034
181	the fruit	18	0378	1507
182	full	18	0984	1429
183	the garlic	32	0424	2368
184	to get / acquire	18	1263	694
185	the ghost	24	0669	1175
186	the ginger	18	0425	2500
187	to give	20	1345	1447
188	gnaw / nibble (v.)	11		
189	the goat	20	0276	1502
190	the gold	20	0051	1369
191	good	20	1052	1035
192	grain (of rice)	20	0845	2086
193	the grandson	20	0224	1618
194	the grass	22	0436	606
195	green	22	1009	1425
196	the gums	20	0138	139
197	the hail	22	0013	609
198	the hair (of the head)	18	0075	1040
199	the half	24	0832	816
200	the hand	12	0107	1277
201	hard	22	1034	1884
202	the hat	20	0475	771
203	to hate	20	1373	1607
